Data Collector,Field ID,Date,Sampling period,Crop,Treatment,Section number,Seeds present,Dead seeds,White grubs,Wireworm,Seedcorn maggot,Other damage,Notes
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,7,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,8,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,9,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,1,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,2,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,3,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,4,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,5,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,6,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,7,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,8,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Neonic,9,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,1,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,2,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,3,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,4,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,5,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,6,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,7,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,8,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,7/2/2025,V3/V4,Field corn,Fung,9,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,1,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,2,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,3,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,4,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,5,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,6,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,7,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,8,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Neonic,9,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,1,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,2,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,3,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,4,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,5,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,6,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,7,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,8,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/16/2025,VE/V1,Field corn,Fung,9,0,0,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,1,0,1,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,2,0,1,No,No,No,No,
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,3,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,4,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,5,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,6,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,7,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,8,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Neonic,9,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,1,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,2,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,3,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,4,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,5,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,6,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,7,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,8,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_ZIT_2,6/25/2025,V3/V4,Field corn,Fung,9,0,0,No,No,No,No,No gaps
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,1,124,10,No,Yes,No,No,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,2,105,10,No,Yes,No,No,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,3,129,10,No,No,No,No,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,4,103,10,Yes,Yes,No,No,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,5,104,10,No,No,No,Some feeding injury,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,6,96,10,No,No,No,Some feeding injury,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,7,118,10,No,No,No,No,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,8,130,10,Yes,No,No,No,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Neonic,9,115,10,Yes,No,No,Millipedes,Lots of corn stalk residue
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,1,116,10,Yes,No,No,Seed feeding,
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,2,126,10,Yes,No,No,No,
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,3,103,10,No,Yes,No,No,
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,4,125,10,Yes,No,No,No,
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,5,108,10,Yes,No,No,No,
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,6,100,10,No,No,No,No,
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,7,118,10,Yes,No,No,No,
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,8,126,5,No,No,No,No,
Mike Stanyard,STA_REE_2,6/16/2025,VE/V1,Soybean,Fung,9,132,7,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,1,100,1,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,2,111,1,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,3,95,1,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,4,80,0,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,5,113,0,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,6,113,0,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,7,124,0,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,8,118,1,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Neonic,9,122,0,No,No,No,No,
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,1,115,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,2,130,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,3,115,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,4,104,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,5,99,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,6,98,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,7,102,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,8,120,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_2,6/30/2025,V3/V4,Soybean,Fung,9,126,0,No,No,No,No,No seeds found in gaps
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,1,108,10,No,No,No,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,2,124,10,No,No,No,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,3,118,10,No,No,No,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,4,105,8,No,No,No,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,5,101,9,No,No,No,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,6,103,10,No,No,Yes,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,7,101,10,No,No,No,Millipede,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,8,117,10,No,No,No,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Neonic,9,96,10,No,No,Yes,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,1,115,4,No,No,Yes,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,2,112,10,No,No,Yes,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,3,114,10,No,No,No,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,4,91,10,No,No,Yes,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,5,105,10,No,No,Yes,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,6,84,10,No,No,Yes,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,7,130,10,No,No,Yes,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,8,116,10,No,No,No,No,
Mike Stanyard,STA_REE_1,6/12/2025,VE/V1,Soybean,Fung,9,115,10,No,No,No,No,
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,1,118,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,2,70,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,3,111,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,4,101,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,5,92,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,6,92,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,7,85,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,8,105,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Neonic,9,95,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,1,107,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,2,123,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,3,119,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,4,89,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,5,91,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,6,103,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,7,149,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,8,150,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_REE_1,6/30/2025,V3/V4,Soybean,Fung,9,107,0,No,No,No,No,Could not find seeds when digging
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,1,105,10,No,No,No,Rotten wet area,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,2,122,10,No,No,No,No,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,3,120,10,No,No,No,No,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,4,111,10,No,No,No,No,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,5,94,10,No,No,No,No,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,6,111,10,No,No,No,No,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,7,120,10,No,Yes,No,No,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,8,114,10,No,No,No,No,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Neonic,9,121,10,No,Yes,No,No,
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,1,92,9,No,No,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,2,71,3,No,No,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,3,111,1,No,No,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,4,131,3,No,No,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,5,135,7,No,No,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,6,126,10,No,Yes,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,7,115,10,No,No,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,8,115,8,No,No,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/18/2025,VE/V1,Soybean,Fung,9,119,0,No,No,No,No,Severe compaction
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,1,89,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,2,94,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,3,83,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,4,116,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,5,111,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,6,131,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,7,118,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,8,108,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Neonic,9,119,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,1,89,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,2,125,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,3,125,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,4,142,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,5,105,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,6,122,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,7,107,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,8,124,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_FRE,6/30/2025,V3/V4,Soybean,Fung,9,114,NA,NA,NA,NA,NA,Ground was too hard to dig up seeds
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,1,28,2,No,No,Yes,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,2,27,1,No,No,No,Cutworm,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,3,27,2,No,No,Yes,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,4,30,0,No,No,No,Cutworm,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,5,23,4,No,No,Yes,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,6,25,0,No,No,No,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,7,25,2,No,No,No,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,8,30,0,No,No,No,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Neonic,9,27,2,No,No,Yes,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,1,30,1,No,No,No,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,2,27,1,Yes,No,No,Cutworm,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,3,22,6,No,No,No,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,4,27,1,No,No,Yes,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,5,28,0,Yes,No,No,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,6,26,3,No,No,Yes,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,7,28,2,No,No,Yes,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,8,28,0,No,No,No,No,
Mike Stanyard,STA_WOO,6/2/2025,VE/V1,Field corn,Fung,9,NA,NA,NA,NA,NA,NA,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,1,19,8,No,No,No,Rot,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,2,28,1,No,No,No,Rot,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,3,24,4,No,No,No,"Rot, clipped",
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,4,22,6,No,No,No,"Rot, clipped",
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,5,25,4,No,No,No,Rot,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,6,27,3,No,No,No,"Rot, clipped",
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,7,23,4,No,No,No,"Rot, clipped",
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,8,25,2,No,No,No,Rot,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Neonic,9,22,6,No,No,No,"Rot, clipped",
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,1,27,1,No,No,No,No,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,2,27,1,No,No,No,No,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,3,28,0,No,No,No,No,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,4,27,1,No,No,No,Leafed out underground,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,5,28,1,No,No,No,Stuck in residue,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,6,31,0,No,No,No,No,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,7,26,2,No,No,No,Hollowed out seeds,
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,8,24,4,No,No,No,"Rot, clipped",
Mike Stanyard,STA_WOO,6/13/2025,V3/V4,Field corn,Fung,9,26,3,No,No,No,Stuck in residue,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,1,27,6,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,2,32,2,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,3,32,3,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,4,28,4,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,5,35,1,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,6,30,3,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,7,30,2,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,8,32,3,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Neonic,9,33,1,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,1,31,3,No,No,No,No,Leaf out underground
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,2,29,4,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,3,34,0,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,4,29,4,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,5,32,2,Yes,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,6,28,4,No,No,No,No,
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,7,32,3,No,No,No,No,Hard seed
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,8,33,2,No,No,No,No,Hard seed
Mike Stanyard,STA_MAC,6/27/2025,VE/V1,Field corn,Fung,9,32,3,No,No,No,No,Hard seed
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,1,30,3,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,2,37,0,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,3,32,4,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,4,35,0,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,5,28,5,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,6,26,7,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,7,30,2,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,8,32,3,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Neonic,9,35,0,No,No,No,No,
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Fung,1,26,8,No,No,No,No,"Some not germinated, others leafed out underground"
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Fung,2,31,3,No,No,No,No,"Some not germinated, others leafed out underground"
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Fung,3,31,1,No,No,No,No,"Some not germinated, others leafed out underground"
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Fung,4,33,0,No,No,No,No,"Some not germinated, others leafed out underground"
Mike Stanyard,STA_MAC,7/3/2025,V3/V4,Field corn,Fung,5,34,1,No,No,No,No,"Some not germinated, others leafed out underground"
