Date,Farm,Region,Temp,Weather,Non or Insecticide,Active Ingredients,Calamosternus granarius,Colobopterus erraticus, Aphodius fimetarius/pedellus ,Otophorus haemorrhoidalis,Oscarinus rusicola,Alloblackburneus rubeolus,Acrossus rubripennis,Teuchestes fossor,Labarrus pseudolividus/lividus,Blackburneus stercorosus,Pseudagolius bicolor,Eupleurus subterraneus,Onthophagus taurus ,Onthophagus pennsylvanicus,Onthophagus hecate ,Histeridae ,Hydrophilidae,Staphylinidae,Scarabaeidae,Horn_Flies,Face_Flies,GPS
8/25/22,Honeyhill,Northwest,70,Cloudy,Non,,,,,,,,,,,,,,2,,,,3,,2,41,24,"42.7876199,-77.6811557"
9/1/22,Honeyhill,Northwest,55,Cloudy,Non,,,1,,,,,,,,2,,,1,,,,,,4,37,30,"42.7876199,-77.6811557"
9/8/22,Honeyhill,Northwest,60,Cloudy,Non,,,,,,,,,,,,,,1,,,3,,,1,20,10,"42.7876199,-77.6811557"
9/15/22,Honeyhill,Northwest,44,Cloudy,Non,,,,,1,,,,,,,,,,,,,1,,1,0,0,"42.7876199,-77.6811557"
9/22/22,Honeyhill,Northwest,50,Sunshine,Non,,,,,,,,,,,,,,,,,,5,,0,,,"42.7876199,-77.6811557"
9/29/22,Honeyhill,Northwest,48,Cloudy,Non,,,,,,,,,,,,,,,,,,1,,0,0,0,"42.7876199,-77.6811557"
5/18/22,Johnk Farm,Capital,70,Sunshine,Non,,2,13,,9,,,,1,,,,,4,,,2,18,2,29,17,9,"42.40061728166515, -73.99420583068292"
5/25/22,Johnk Farm,Capital,72,Sunshine,Non,,8,12,,,,,,,,,,,,,1,5,44,4,21,114,22,"42.40061728166515, -73.99420583068292"
6/1/22,Johnk Farm,Capital,68,Rain,Non,,1,12,,5,,,,,,2,,,,,,5,40,2,20,93,23,"42.40061728166515, -73.99420583068292"
6/7/22,Johnk Farm,Capital,74,Cloudy,Non,,,19,2,1,,,,,,2,,,1,,,5,21,3,25,129,31,"42.40061728166515, -73.99420583068292"
6/14/22,Johnk Farm,Capital,76,Sunshine,Non,,12,68,,,,,,,,,,,,,,,41,2,80,159,41,"42.40061728166515, -73.99420583068292"
6/22/22,Johnk Farm,Capital,62,Rain,Non,,3,40,,3,,,,1,1,2,,,,,,1,33,27,50,160,41,"42.40061728166515, -73.99420583068292"
6/28/22,Johnk Farm,Capital,79,Sunshine,Non,,,213,,25,,3,,1,,1,,,,,,,28,10,243,,,"42.40061728166515, -73.99420583068292"
7/6/22,Johnk Farm,Capital,74,Cloudy,Non,,9,41,11,15,,2,,,,,,2,1,1,,,9,,82,162,45,"42.40061728166515, -73.99420583068292"
7/13/22,Johnk Farm,Capital,80,Sunshine,Non,,,32,2,11,,,,,,3,,,,,,1,20,3,48,213,54,"42.40061728166515, -73.99420583068292"
7/29/22,Johnk Farm,Capital,80,Sunshine,Non,,,30,,16,,2,,,,6,,,8,,,,54,,62,,,"42.40061728166515, -73.99420583068292"
7/29/22,Johnk Farm,Capital,85,Sunshine,Non,,18,5,,18,,6,,,,4,,,1,1,1,,35,1,54,230,46,"42.40061728166515, -73.99420583068292"
8/3/22,Johnk Farm,Capital,88,Sunshine,Non,,4,,,5,,3,,,,3,,,4,2,1,2,24,3,22,181,42,"42.40061728166515, -73.99420583068292"
8/8/22,Johnk Farm,Capital,88,Sunshine,Non,,10,,,4,,,,,2,32,,,3,3,1,2,34,2,55,173,34,"42.40061728166515, -73.99420583068292"
8/19/22,Johnk Farm,Capital,85,Sunshine,Non,,7,,,,,1,,,,7,,,3,,1,2,8,,19,206,42,"42.40061728166515, -73.99420583068292"
8/23/22,Johnk Farm,Capital,85,Sunshine,Non,,5,,,,,,,,,,,,2,,,,9,,7,,,"42.40061728166515, -73.99420583068292"
8/31/22,Johnk Farm,Capital,72,Sunshine,Non,,2,,,5,,,,,7,,,,,,,,,6,14,262,50,"42.40061728166515, -73.99420583068292"
9/8/22,Johnk Farm,Capital,76,Sunshine,Non,,,,,4,2,,,,1,,,,,,,,30,4,7,263,49,"42.40061728166515, -73.99420583068292"
9/14/22,Johnk Farm,Capital,62,Sunshine,Non,,,,,,,,,,,,,,,,,,16,,0,262,50,"42.40061728166515, -73.99420583068292"
9/22/22,Johnk Farm,Capital,62,Sunshine,Non,,,,,1,,,,,,1,,,,,,,50,,2,300,53,"42.40061728166515, -73.99420583068292"
9/27/22,Johnk Farm,Capital,62,Sunshine,Non,,,,,,2,,,,,,,,,,,,40,,2,193,35,"42.40061728166515, -73.99420583068292"
5/4/22,Turner,Southwest,57,Cloudy,Non,,,2,,,,,,,,,,,,,,,24,4,2,0,0,"42.22686594127726, -76.99705251164634"
5/12/22,Turner,Southwest,78,Sunshine,Non,,,29,2,,,,12,,,,,,,,,,79,14,43,0,32,"42.22686594127726, -76.99705251164634"
5/19/22,Turner,Southwest,73,Sunshine,non,,1,23,1,,,,,,,,,,,,,,48,3,25,14,45,"42.22686594127726, -76.99705251164634"
5/27/22,Turner,Southwest,68,Rain,Non,,,,2,1,,,,,,1,,,,,,,,,4,19,18,"42.22686594127726, -76.99705251164634"
6/2/22,Turner,Southwest,69,Sunshine,Non,,,,,,,,,1,,,,,,,,,6,1,1,71,56,"42.22686594127726, -76.99705251164634"
6/9/22,Turner,Southwest,55,Rain,non,,,,,1,,,,,,,,,,,,,4,,1,144,81,"42.22686594127726, -76.99705251164634"
6/17/22,Turner,Southwest,77,Sunshine,Non,,,1,,,,,,,,,,,,,,1,6,1,1,126,64,"42.22686594127726, -76.99705251164634"
6/22/22,Turner,Southwest,92,Sunshine,Non,,,,,,,,,,,,,,,,,1,16,,0,96,54,"42.22686594127726, -76.99705251164634"
6/29/22,Turner,Southwest,76,Sunshine,Non,,,1,,,,,,,,,,,,,,,53,,1,166,54,"42.22686594127726, -76.99705251164634"
7/7/22,Turner,Southwest,88,Sunshine,Non,,,16,1,,,1,,,,1,,,,,,,60,7,19,132,44,"42.22686594127726, -76.99705251164634"
7/14/22,Turner,Southwest,72,Sunshine,Non,,,3,2,,,,,,,,,,,,,,51,,5,62,30,"42.22686594127726, -76.99705251164634"
7/21/22,Turner,Southwest,86,Cloudy,Non,,,2,,,,,,,,,,,,,,4,5,,2,106,38,"42.22686594127726, -76.99705251164634"
7/29/22,Turner,Southwest,88,Sunshine,Non,,,7,,,,,,,,1,,,4,,,,36,4,12,116,68,"42.22686594127726, -76.99705251164634"
8/4/22,Turner,Southwest,76,Cloudy,non,,,,,1,,,,,,,,,,,,,3,4,1,126,86,"42.22686594127726, -76.99705251164634"
8/11/22,Turner,Southwest,84,Sunshine,Non,,,,,,,,,,,,,,,,,,25,,0,130,52,"42.22686594127726, -76.99705251164634"
8/18/22,Turner,Southwest,82,Sunshine,Non,,,,,1,,,,,,,,,6,,,,37,4,7,64,34,"42.22686594127726, -76.99705251164634"
8/25/22,Turner,Southwest,85,Sunshine,Non,,,2,,,,,,,,,,,5,,,1,13,,7,66,29,"42.22686594127726, -76.99705251164634"
8/31/22,Turner,Southwest,74,Sunshine,Non,,,,,,,,,,,,,,,,,,8,11,0,116,66,"42.22686594127726, -76.99705251164634"
9/8/22,Turner,Southwest,73,Sunshine,Non,,,,,1,,,,,,,,,,,,,5,1,1,110,57,"42.22686594127726, -76.99705251164634"
9/15/22,Turner,Southwest,65,Sunshine,Non,,,,,,,,,,,,,,,,,,16,,0,30,28,"42.22686594127726, -76.99705251164634"
9/22/22,Turner,Southwest,65,Sunshine,Non,,,,,,,,,,1,,,,,,,,3,,1,46,28,"42.22686594127726, -76.99705251164634"
9/29/22,Turner,Southwest,56,Sunshine,Non,,,,,,,,,,,,,,,,,,1,,0,47,5,"42.22686594127726, -76.99705251164634"
5/24/22,Chaseholm,Mid_Hudson,64,Sunshine,non   ,,,18,1,3,,,,,,,,,,,,,18,1,22,32,14,"41.98788599305552, -73.61780360369838"
5/31/22,Chaseholm,Mid_Hudson,94,Sunshine,non   ,,,,,15,,,,,,,,,,1,,,,,16,,,"41.98788599305552, -73.61780360369838"
6/30/22,Chaseholm,Mid_Hudson,80,Sunshine,non   ,,,,10,,,,,,,,,,,,,,3,1,10,123,44,"41.98788599305552, -73.61780360369838"
7/26/22,Chaseholm,Mid_Hudson,80,Sunshine,non   ,,,,,1,,,,,,,,,,,,,20,,1,,,"41.98788599305552, -73.61780360369838"
8/23/22,Chaseholm,Mid_Hudson,90,Sunshine,non   ,,,,,3,,,,,,,,,,,,2,1,,3,,,"41.98788599305552, -73.61780360369838"
