Participant ID,B4_Drip,B4_Overhead,B4_Hand,B4_Flood,B4_None,B4_Other,B6_Brassica,B6_Cucurbita,B6_Solanaceous,B6_Sweet,B6_Legume,B6_Lamiaceous,B6_Allium,B6_Umbel,B6_Chenopod,B6_Aster,B6_Rosaceae,B6_Ericaceae,B6_Other,B8_Legumes,B8_Brassicas,B8_Buckwheat,B8_Cool,B8_Warm,B8_Phacelia,B8_None,B8_Other,B9_Chickens,B9_Ducks,B9_Cattle,B9_Goats,B9_Sheep,B9_Hogs,B9_None,B9_Other,B10_Alfalfa,B10_Bat,B10_Feather,B10_FishM,B10_Bone,B10_Blood,B10_Cotton,B10_FishE,B10_Soybean,B10_Rock,B10_Kelp,B10_Greensand,B10_Langbeinite,B10_Potassium,B10_Compost,B10_None,B10_Other,B11_Notill,B11_Zone,B11_Ridge,B11_Inrow,B11_Shallow,B11_Permanent,B11_None,B11_Other,B12_Hay,B12_Straw,B12_Plastic,B12_Fabric,B12_Bio,B12_None,B12_Other,B13_Tarping,B13_Solarization,B13_None,B13_Other,B14_Beauveria,B14_Isaria,B14_Chromo,B14_None,B14_Other,B15_Azadiractin,B15_Potassium,B15_Iron,B15_Spinosad,B15_Hydrogen,B15_Reynoutria,B15_None,B15_Other,E4_Drip,E4_Overhead,E4_Hand,E4_Flood,E4_None,E4_Other,E6_Brassica,E6_Cucurbita,E6_Solanaceous,E6_Sweet,E6_Legume,E6_Lamiaceous,E6_Allium,E6_Umbel,E6_Chenopod,E6_Aster,E6_Rosaceae,E6_Ericaceae,E6_Other,E8_Legumes,E8_Brassicas,E8_Buckwheat,E8_Cool,E8_Warm,E8_Phacelia,E8_None,E8_Other,E9_Chickens,E9_Ducks,E9_Cattle,E9_Goats,E9_Sheep,E9_Hogs,E9_None,E9_Other,E10_Alfalfa,E10_Bat,E10_Feather,E10_FishM,E10_Bone,E10_Blood,E10_Cotton,E10_FishE,E10_Soybean,E10_Rock,E10_Kelp,E10_Greensand,E10_Langbeinite,E10_Potassium,E10_Compost,E10_None,E10_Other,E11_Notill,E11_Zone,E11_Ridge,E11_Inrow,E11_Shallow,E11_Permanent,E11_None,E11_Other,E12_Hay,E12_Straw,E12_Plastic,E12_Fabric,E12_Bio,E12_None,E12_Other,E13_Tarping,E13_Solarization,E13_None,E13_Other,E14_Beauveria,E14_Isaria,E14_Chromo,E14_None,E14_Other,E15_Azadiractin,E15_Potassium,E15_Iron,E15_Spinosad,E15_Hydrogen,E15_Reynoutria,E15_None,E15_Other
94,Drip,Overhead,,,,,,,,,,,Allium,Umbel,Chenopod,Aster,,,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,Feather meal,,Bone meal,Blood meal,,,,Rock phosphate,Kelp meal,Greensand,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,Straw,Plastic mulch,Weed barrier fabrics,,,,,,,"Cover crop, flame weeding",,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",Hydrogen dioxide,"Reynoutria sachaliensis extract (e.g., Regalia)",,,Drip,,,,,,,,,,,,Allium,Umbel,Chenopod,Aster,,,Flowers,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,Feather meal,,Bone meal,Blood meal,,,,Rock phosphate,Kelp meal,Greensand,,,Compost,,,,Zone tillage,,,,,,,,Straw,Plastic mulch,Weed barrier fabrics,,,,,,,"Cover crop, flame weeding",,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",Hydrogen dioxide,,,
50,,,,,None,,,Cucurbit,,,,,,,,,,,Hay,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,Manure,No-till (soil is undisturbed by any tillage equipment between plantings),,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",,,,,,,,,,,None,,Tarping,,,,,,,None,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,Hay,,,,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,,,,Manure,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
275,Drip,,,,,,,Cucurbit,Solanaceous,,Legume,,Allium,,,,,,,Legumes,Brassicas,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,Blood meal,,Fish emulsion,,Rock phosphate,,,,,Compost,,Eggshells,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,,,,Drip,,Hand watering,,,,,,Solanaceous,,Legume,,,Umbel,,,Rosaceae,,,,Brassicas,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,,,,,,None,,,Straw,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,
170,Drip,,,,,,,Cucurbit,Solanaceous,,,,,,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,Rock phosphate,,,,Potassium sulfate,Compost,,Turkey manure,,,,,,,None,,,Straw,Plastic mulch,,,,,,,None,,"Beauveria bassiana (e.g., BoteCHA ES)",,"Chromobacterium substugae (e.g., Grandevo)",,,,,,,,,,,Drip,,,,,,,Cucurbit,,,,,,,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,Turkey manure,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,
146,,,Hand watered,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,Buckwheat,,,Phacelia,,Nematicidal Marigolds,,,,,,,None,,Alfalfa meal,,,,,,,Fish emulsion,,Rock phosphate,,Greensand,,,Compost,,"Kelp liquid, menafee humates",,,,,,,None,,,,Plastic mulch,Weed barrier fabrics,,,,,,None,,,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,,,,,,,,Hand watering,,,,,,,Sweet cron,,,Allium,,,,,,Field corn (ornamental & popcorn),,,Buckwheat,,,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,,,,,,None,,,,,,,None,,,,None,,,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,,,,,
229,,Overhead,,,,,,Cucurbit,,,Legume,,,,,,Rosaceae,,,,,,,,,None,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,Worm casting,,,,,,,None,,,,,,Biodegradable planting paper,,Wood chips,Tarping,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,None,,,Cucurbit,,,,Lamiaceous,Allium,,,Aster,,,,,,,,,,None,Mulch,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Chicken manure,,,,,,,,Chisel plow/rototill,Hay,,,,,,,,,,Mulch w/ hay,,,,None,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,Asparagus,,,,,,,,Mulch w/ hay,,,,,,,None,,,,,,,,,,,,,,,,Compost,,"Buckwheat hills, Chicken manure",No-till,,,,,,,,Hay,,,,,,,,,Rototillage,,,,,None,,,,,,,,None,
108,,Overhead,,,None,,,,,,Legume,,,,,,Rosaceae,,"Currants, flowers",,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,Permanent beds,,,,,,,,None,Wood chips,,,None,,,,,None,,,,,,,,None,,,Overhead,,,None,,Brassica,Cucurbit,,,Legume,,Allium,Umbel,Chenopod,Aster,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,No-till,,,,,Permanent beds,,,,Straw,Plastic mulch,,,None,,Tarping,,,,,,,None,,,,,,,,None,
102,Drip,Overhead,,,,,Brassica,Cucurbit,,Sweet corn,Legume,,Allium,Umbel,Chenopod,,,,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,Feather meal,,,,,Fish emulsion,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),Zone tillage,,,Shallow tillage,,,,,Straw,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,,Drip,Overhead,,,,,,,,,,,,,,,,,Cover cropped (in veg rotation every 3 yrs),Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,No-till,,,,Shallow tillage,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
79,Drip,,,,,,,,Solanaceous,,,,,,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Aged horse manure 9/16/20 (12 T/A),,,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",,,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,,,,,,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,,,,,,Oats/peas mix,,,,,,,None,,,,,,,,,,,,,,,,,,Aged horse manure 9/16/20 (10.4 T/A),,,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",,,,,,,,,,,None,,,,,Tarping on only 3 beds at second half of season,,,,None,,,,,,,,None,
210,,,,,,,,,,,,,,,,,,,"Part triticale/winter pea fall 2020, inter seeded medium … spring (late), mowed down winter cover, rest clover cover frost seeded … rye planted fall 2020",Legumes,,,"Cool season grasses (e.g., winter rye)",,,,Triticale,,,,,,,None,,,,,,,,,,,,,,,,,,Part had calcium/citric lime 35#/1000 sq ft fall 2020,,,,,Shallow tillage,,,Rye & triticale were interseeded w/ clover & mowed off vs. plow down,,,,Weed barrier fabrics,,None,,,,None,,,,,None,,,,,,,,None,"Cueva copper octonoate fungicide, Cease biological fungicide, milstop biological fungicide use on rye half 2020 & other half 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Overhead,,,,,Brassica,,,,,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,,,,,None,,,,,,,,None,,,,Feather meal,,Bone meal,,,Fish emulsion,Soybean meal,,,,,,Compost,,Composted chicken manure,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,,,,,,Composted horse bedding,Tarping,,,,,,,None,,,,,,,,None,,,Overhead,Hand watering,,,,Brassica,Cucurbit,Solanaceous,,,,Allium,,,,,,,,,Buckwheat,,,,,,,,,,,,None,,,,Feather meal,,Bone meal,,,Fish emulsion,Soybean meal,,,,,,Compost,,Composted chicken manure,No-till,,,,,,,,,,,,,,Wood chips & composted horse bedding,Tarping,,,,,,,None,,,,,,,,None,
244,Drip,,,,,,,,Solanaceous,,,,Allium,,,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,Chickens,,,,,,,,,,,,,,,,,,,,,,,,Pelletized chicken compost (Kreger 8 ...),,Zone tillage,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",In-row subsoiling,,Permanent beds,,,Hay,,Plastic mulch,Weed barrier fabrics,,,,Tarping,,,,,,,None,,,,,,,,None,,Drip,,,,None,,Brassica,,,,,,Allium,Umbel,Chenopod,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Kreger's 8-1-1 chicken manure pelletized & not pelletized,,Zone tillage,,In-row subsoiling,,Permanent beds,,,Hay,Straw,,,,None,,Tarping,,,,,,,None,,,,,,,,None,
52,Drip,,,,,,Brassica,,Solanaceous,,Legume,,,,,,Rosaceae,,,Legumes,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,,,,Shallow tillage,Permanent beds,,Gardenmats.com,,,,Weed barrier fabrics,,,,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,,Cucurbit,Solanaceous,,,,,,Chenopod,,,,,,,,,,,None,,,,,,,,None,Wild rabbits!,,,,,,,,,,,,,,,Compost,,,,Zone tillage,,,,Permanent beds,,,,,Plastic mulch,,,,,Tarping,,,,,,,None,,,,,,,,None,
274,,,,,None,,Brassica,,,Sweet corn,Legume,,,,,,,,,Legumes,Brassicas,Buckwheat,,,,,Annual ryegrass,,,,,,,None,,,,,,,,,,,,,,,,,,Lime,,Zone tillage,,,Shallow tillage,,,,Hay,,,,,,,,,,Fall cover crop,,,,None,,,,,,,,None,,,,,,None,,Brassica,Cucurbit,Solanaceous,,,,,,,Aster,,,,,Brassicas,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Lime,No-till,,,,,,,,,,Plastic mulch,,,,,,,,Fall cover crop,,,,None,,,,,,,,None,
95,Drip,,,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,Feather meal,,Bone meal,,,,,,,,,,Compost,,,,,,,,Permanent beds,,,,Straw,,,,,Leaf mulch,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,,,Solanaceous,,,,Allium,,,,,,,,,Buckwheat,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,Feather meal,Fish meal,,,,,,,,,,,,,,,,,,,,None,,,Straw,,,,,,,,None,,,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,,,,,Surround WP
265,Drip,,,,,,,,Solanaceous,,,,,,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Horse manure,,,,,,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,,,Solanaceous,,,,,,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Horse manure,,,,,,,None,,,,,,,,,,,None,,,,,None,,,,,,,,None,
142,,Overhead,,,,,Brassica,Cucurbit,Solanaceous,,,Lamiaceous,Allium,Umbel,,,Rosaceae,,,,,,,,,None,"I mulch the entire garden with 3""-4"" hay.",,,,,,,None,,,,,,,,,,,,,,,,,None,Mulch hay cleaned out of a barn with aged + 5yrs manure was put on fall of 2020.,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,Hay,,,,,,,,,None,,,,,None,,,,,,,,None,,,,,,None,,,,Solanaceous,,Legume,,,Umbel,,,,,,,,,,,,None,Mulch hay added,,,,,,,None,,,,,,,,,,,,,,,,,None,,No-till,,,,,,,,Hay,,,,,,Put down some cardboard boxes & covered with hay,,,None,,,,,None,,,,,,,,None,
159,,Overhead,,,,,,,,,,,Allium,,Chenopod,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,Cattle,,,,,,,,,,,,,,,,,,,,Compost,,Krehers 5-4-3 pelletized poultry manure,,,,,Shallow tillage,,,,,Straw,,,,,,,,None,,,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,,,,,,,Overhead,,,,,Brassica,,,,,,Allium,,Chenopod,Aster,,,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,Blood meal,,,,,,,,Potassium sulfate,Compost,,"Kreher's 5-4-3, Fertrell Sul-Po-Mag",,,,,Shallow tillage,Permanent beds,,,,,,,,None,,Tarping,,,,,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,,,,,
226,Drip,Overhead,,,,,Brassica,,,,,,Allium,,Chenopod,Aster,,,,Legumes,Brassicas,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,Alfalfa meal,,,,,Blood meal,,Fish emulsion,,,Kelp meal,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,Permanent beds,,Tarping crop residue,Hay,,Plastic mulch,Weed barrier fabrics,,,Wood chips pathways,Tarping,Solarization,,,,,,None,,,,,,,,None,,Drip,Overhead,,,,,Brassica,,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,Legumes,Brassicas,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,Alfalfa meal,,Feather meal,Fish meal,,Blood meal,,Fish emulsion,,,Kelp meal,,,,,,,No-till,,,,,Permanent beds,,,,Straw,Plastic mulch,Weed barrier fabrics,,,,Tarping,Solarization,,,,,,None,,,,,,,,None,
118,Drip,,,,,,,Cucurbit,Solanaceous,,Legume,Lamiaceous,,,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,,,Weed barrier fabrics,,,,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,Brassica,,Solanaceous,,,Lamiaceous,,,Chenopod,Aster,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,No-till,,,,,,,,,,,Weed barrier fabrics,,,,Tarping,,,,,,,None,,,,,,,,None,
188,Drip,,,,,,Brassica,Cucurbit,,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,Fertrell 4-5-8 Fish Potash 0-0-50 and some redmond salt were drip applied,,,,,,,,We use raised bed plastic on all crops,,,Plastic mulch,,,,hay mulch is used on all cucurbit crops between plastic fro weed control after vines are out,,,None,,,,,None,,,,,,,,,Pyganic and entrust also surround on cucurbits,Drip,,,,,,,,,,,,Allium,,,,,,,,,Buckwheat,,,,,The part that was not in onions this year was in buckwheat. Last year everything was squash and mulched with old hay.,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,Potassium sulfate,,,Chicken manure and Fertrell 4-5-8,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,
173,,,,,None,,,,,,Legume,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,,,,None,,,,,,Legume,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
255,,,,,None,,Brassica,,Solanaceous,Sweet corn,Legume,,,,Chenopod,Aster,Rosaceae,,"Nursery crops (grasses), cover crop",Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Composted chicken shit (Kreher's),,,,,,,None,,,,,,,,Oats/intercropped,,,None,,,,,None,,,,,,,,None,,,,,,None,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,,,Chenopod,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Composted chicken shit (Kreher's),,,,,,,None,,,,,,,,Oats intercropping,,,None,,,,,None,,,,,,,,None,
29,,Overhead,Hand watered,,,,,,,,,,,,,Aster,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,Rock phosphate,,,,Potassium sulfate,,,Peanut meal,,,,,Shallow tillage,Permanent beds,,,,,,Weed barrier fabrics,,,,Tarping,,,,,,,None,,,,,,,,,,,Overhead,Hand watering,,,,Brassica,,,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,Rock phosphate,,,,Potassium sulfate,,,Peanut meal,,,,,Shallow tillage,Permanent beds,,,,,,Weed barrier fabrics,,,,Tarping,,,,,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,,,
182,,,Hand watered,,,,Brassica,Cucurbit,Solanaceous,Sweet corn,,,Allium,,Chenopod,Aster,,,,,,Buckwheat,,,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,,,,,,None,,,,,,,None,,Tarping,,,,,,,None,,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,None,,Brassica,,,,,,,,,,,,,,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Composted poultry manure (Kreher 5-4-3 w 9% Ca),,,,,Shallow tillage,,,Plow down crop debris & cover crop,,,,,,None,,,,None,,,,,,Dipel DF,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,"Reynoutria sachaliensis extract (e.g., Regalia)",,,,,,,None,,,,Solanaceous,,,,,,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Composted poultry manure (Kreher 6-4-3 w 9% Ca),,,,,Shallow tillage,,,Plow crop debris & cover crops,,,,,,None,,,,None,,,,,,Dipel DF,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,"Reynoutria sachaliensis extract (e.g., Regalia)",,
241,Drip,,,,,,,,,,,,,,,,Rosaceae,,,,,Buckwheat,,,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,,,,,,,,Shallow tillage,,,,,Straw,,,Biodegradable planting paper,,,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,,,,,,,,,,,Rosaceae,,,,,Buckwheat,,,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,,,,,,,,Shallow tillage,,,,,Straw,,,Biodegradable planting paper,,,,,None,,,,,None,,,,,,,,None,
213,Drip,,,,,,Brassica,,,,,,,Umbel,,Aster,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Fertrell Earth Friendly All Purpose 5-5-3,,,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",,,,,"Subsoil then till 5' beds - plant in 36"" of bed 3-4 … season",,,,,,None,,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,,,,,,,,,,,,,None - in area sampled,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",,,,,,,,Plastic mulch,,,,,Tarping,,,,,,,None,,,,,,,,None,
60,,Overhead,,,,,Brassica,Cucurbit,Solanaceous,,Legume,,Allium,Umbel,Chenopod,,,,,,,,,,,,Native cover,,,,,,,None,,,,,,,,,,,,,,,,,,Aged manure,,,,,Shallow tillage,,,,Hay,,,,,,Cardboard,,,None,,,,,None,,,,,,,,None,,,Overhead,,,,,,Cucurbit,Solanaceous,,,,,,,,,,"asparagus, - apple - peach",,,,,,,,Weeds - grass,,,,,,,None,,,,,,,,,,,,,,,,,,Aged manure,,,,,Shallow tillage,,,,,,,,,None,,,,None,,,,,,,,,,,,,,
252,Drip,,Hand watered,,,,Brassica,,,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,Mixed grasses … weeds with some clover,Legumes,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,,,,,,"Raised beds with clover or weeds in aisles, asiles mowed, top of beds tilled. Beds in place 1-3 years, then whole field tilled and beds re-made.",,Straw,,,,,,,,None,,,,,None,,,,,,,,None,,Drip,,,,,,Brassica,,,,Legume,,Allium,Umbel,Chenopod,Aster,,,,Legumes,,,,,,,Mixed natural weed growth,,,,,,,None,,,,,,,,,,,,,,,,,,… ; fish/seaweed mix emulsion,,,,,,,,"Raised beds with clover or weed growth mowed in aisles, top of beds tilled, beds in place 1-3 years, then whole field tilled and beds re-made.",,Straw,,,,,,,,None,,,,,None,,,,,,,,,
68,,,,,None,,Brassica,,,,,,,Umbel,Chenopod,,,,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,Potassium sulfate,Compost,,"Zinc, boron, sul-po-mag, chilean nitrate",,,,,,Permanent beds,,,,,,,,None,,,,,Stale bedding,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,Overhead,,,,,Brassica,,,,,,,,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,Overhead,,,,,,,Solanaceous,,,,,,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Muriate of potash (KCL - 0-0-60 @ 200#/ft),,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
55,Drip,,,,,,Brassica,Cucurbit,,,Legume,,Allium,Umbel,,Aster,,,,Legumes,,,,,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,,,,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Drip,,,,,,,,,,,,,,,,,,Sweet potato,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Chicken manure crumbles 5-4-3,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,,Drip,Overhead,,,,,Brassica,,,,Legume,,,,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Chicken manure crumbles 5-4-3,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
82,Drip,,,,,,Brassica,,Solanaceous,,,,Allium,,Chenopod,,,,Okra,Legumes,,,,,,,,Chickens,,,,,,,,,,,,,,,Fish emulsion,,,,,,,Compost,,"Chicken manure, biochar",,,,,,Permanent beds,,,,Straw,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,,Capsaicin (boiled hot pepper),Drip,,,,,,Brassica,Cucurbit,Solanaceous,,Legume,,,,,,,,,Legumes,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,,,,Permanent beds,,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,
147,,,,,,Tank,,,,,,,Allium,,,,,,,Legumes,,,,,,,Oats,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,,,Composted poultry manure,,,,,,,None,,,,,,,None,,,,,Rototill,,,,None,,,,,,,,None,,,,,,,Tank,,,,,Legume,,,,,,,,"Oats, vetch",Legumes,,,,,,,Oats vetch,,,,,,,None,,,,,,,,,,,,,,,,,,Composted chicken manure,,,,,,,None,,,Straw,,,,,,,,,Tillage,,,,,,,,,,,,,
