Farm,Date,Year,Week,FeedThru,FeedThruType,FlyTreat,FlyTreatType,Pyrethroid,Pyrethrin,IGR,Ivermectin,Grazing,RotFreqDays,Other,Calamosternus granarius,Colobopterus erraticus,Aphodius fimetarius,Otophorus haemorrhoidalis,Oscarinus rusicola,Alloblackburneus rubeolus,Acrossus rubripennis,Chilothorax distinctus,Teuchestes fossor,Labarrus lividus,Blackburneus stercorosus,Ataenius strigatus,Trichonotulus scrofa,Eupleurus subterraneus,Onthophagus taurus,Onthophagus pensylvannicus,Onthophagus nuchicornis,Onthophagus hecate,AbAll,AbDB,AbNonDB,AbHist,AbHydro,AbHySmall,AbHyLarge,AbStaph,Richness (db),Weather,Windy,Temperature,HornFliesAvg,FaceFliesAvg,StableFliesAvg,GPS
Tamberlane Farm,24-Jul,2024,6,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,12,2,0,0,S,Y,76,23.5,15,7,"42.8279777,-77.2584595"
Rugenstein,24-Jul,2024,6,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,0,0,0,25,0,1,0,0,0,1,13,22,0,0,1,0,0,0,243,65,178,3,141,121,20,34,6,PC,N,72,13.5,23.5,13.5,"42.9400909,-77.3028408"
Charlie Reinshagen,25-Jul,2024,6,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23,5,18,0,18,15,3,0,4,S,N,75,6.1,5.9,,"42.378973, -74.666026"
Maks Melvan,25-Jul,2024,6,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,0,28,5,16,3,0,0,0,0,0,1,0,0,0,0,0,0,0,267,53,214,0,193,27,166,21,5,S,Y,75,27.8,27.6,5,"42.36579, -74.589692"
LaurDom Cattle Co.,25-Jul,2024,6,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,26,0,13,4,0,0,0,0,0,0,0,0,0,2,0,0,0,155,45,110,0,107,5,102,3,4,PC,Y,72,130,45,0,"42.265233, -74.757086"
Stony Creek Farm,25-Jul,2024,6,N,N,N,N,N,N,N,N,Rotational,5,,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,30,5,25,0,21,3,18,4,2,C,Y,67,115,31,1,"42.252111, -75.107264"
Porco,23-Jul,2024,6,N,N,N,N,N,N,N,Y,MIG,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,24,0,24,21,3,0,1,S,Y,81,0,0,0,"43.03266, - 74.7694"
Young,23-Jul,2024,6,N,N,N,N,N,N,N,Y,Rotational,3.5,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,12,1,11,2,9,0,2,S,Y,81,37.5,7,0,"42.88130, - 74.8338"
Devine Gardens,23-Jul,2024,6,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,5,1,4,0,1,S,Y,83,37.5,7,0.5,"42.91542, - 75.7471"
Essex Farm,26-Jul,2024,6,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,3,6,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,95,17,78,1,32,3,29,45,4,S,N,76,59,91,17.1,"44.309224, -73.369184"
Daona,31-Jul,2024,6,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2,81,0,72,71,1,9,1,C,N,77,1.3,0.2,2,"43.87937158694747, -73.31594295713514"
KZ,24-Jul,2024,6,N,N,N,N,N,N,N,N,MIG,1,,0,3,0,47,1,10,0,0,0,0,0,0,0,0,0,0,0,0,167,61,106,8,71,38,33,27,4,C,Y,82,201,26,2.7,"44.21408785253618, -73.44422118959798"
J+R Pierce,31-Jul,2024,6,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,137,6,131,0,85,85,0,46,4,C,N,76,25.7,16.3,1.3,"44.78597240570679, -73.52093274538599"
Donahues,24-Jul,2024,6,N,N,N,N,N,N,N,N,Continuous,30,,1,19,0,3,2,4,0,0,0,0,1,0,0,0,1,0,0,0,392,31,361,6,337,287,50,18,7,R,N,79,6.7,4.5,2,"44.783728724190745, -74.45422136124527"
Chaseholm,11-Aug,2024,7,N,N,N,N,N,N,N,N,Rotational,3,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,2,19,1,10,5,5,8,2,S,Y,77,154,55.5,12.5,"41.959261, -73.608753"
Full Moon,12-Aug,2024,7,N,N,N,N,N,N,N,Y,Rotational,10,,0,0,0,27,2,0,0,0,0,5,9,1,0,0,0,0,0,0,85,44,41,3,28,23,5,10,5,S,Y,73,129.17,30,8.33,"41.753636, -74.122224"
Boone,7-Aug,2024,7,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,0,0,0,4,4,0,0,0,0,6,15,0,0,0,0,0,0,1,74,30,44,0,41,29,12,3,5,PC,Y,71,60,26.25,8.75,"42.514032, -74.047356"
Wilmar Farm,7-Aug,2024,7,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,27,0,24,7,17,3,1,S,Y,65,9.5,16.5,5,"42.652490, -78.247704"
Hendricksons Grazing Acres,7-Aug,2024,7,N,N,N,N,N,N,N,Y,MIG,1,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,9,0,6,3,3,3,2,S,Y,77,6.5,8.5,4.6,"42.622045, -78.134195"
Tamberlane Farm,7-Aug,2024,7,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,38,4,34,0,30,13,17,4,3,S,Y,76,9,14.5,0,"42.8279777,-77.2584595"
Rugenstein,7-Aug,2024,7,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,0,0,0,3,1,0,0,0,0,1,0,9,0,0,0,0,0,0,62,14,48,0,43,42,1,5,4,S,Y,65,3.4,8.6,0,"42.9400909,-77.3028408"
Charlie Reinshagen,8-Aug,2024,7,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,0,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,20,10,10,0,9,6,3,1,3,R,N,65,1,1,,"42.378973, -74.666026"
Maks Melvan,8-Aug,2024,7,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74,9,65,0,59,36,23,6,4,C,N,72,73,34.5,5,"42.36579, -74.589692"
LaurDom Cattle Co.,8-Aug,2024,7,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,1,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,23,13,10,0,10,4,6,0,4,C,Y,67,31.5,23.5,0,"42.265233, -74.757086"
Stony Creek Farm,8-Aug,2024,7,N,N,N,N,N,N,N,N,Rotational,5,,0,1,0,24,12,0,0,0,0,0,12,0,0,0,1,0,0,1,218,51,167,0,152,59,93,15,6,S,Y,64,72,36.5,0,"42.252111, -75.107264"
Porco,7-Aug,2024,7,N,N,N,N,N,N,N,Y,MIG,1,,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,3,12,1,11,6,5,0,2,S,Y,79,0,0,0,"43.03266, - 74.7694"
Young,6-Aug,2024,7,N,N,N,N,N,N,N,Y,Rotational,3.5,,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,7,9,1,7,0,7,1,3,S,Y,79,0,8.3,5.5,"42.88130, - 74.8338"
Devine Gardens,6-Aug,2024,7,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,2,0,2,0,2,S,Y,80,0,7,5.5,"42.91542, - 75.7471"
Essex Farm,8-Aug,2024,7,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,0,5,0,12,3,32,0,0,0,0,0,0,0,0,0,0,0,0,366,52,314,1,235,51,184,78,4,PC,N,77,39.5,30.1,13.8,"44.309224, -73.369184"
Daona,14-Aug,2024,7,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,5,219,2,157,151,6,60,1,S,N,68,1.5,0,0.4,"43.87937158694747, -73.31594295713514"
KZ,8-Aug,2024,7,N,N,N,N,N,N,N,N,MIG,1,,0,0,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,133,27,106,3,70,44,26,33,2,C,N,75,305,35.5,3.9,"44.21408785253618, -73.44422118959798"
J+R Pierce,15-Aug,2024,7,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,61,15,46,0,37,21,16,9,3,S,N,80,17.8,23.3,3.7,"44.78597240570679, -73.52093274538599"
Donahues,15-Aug,2024,7,N,N,N,N,N,N,N,N,Continuous,30,,0,13,0,12,0,4,0,0,1,0,27,0,0,0,8,0,0,0,161,65,96,5,87,44,43,4,6,S,N,84,24.1,23.7,0.8,"44.783728724190745, -74.45422136124527"
Chaseholm,23-Aug,2024,8,N,N,N,N,N,N,N,N,Rotational,3,,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,12,5,7,0,7,6,1,0,5,PC,Y,64,98,57.5,13,"41.959261, -73.608753"
Full Moon,23-Aug,2024,8,N,N,N,N,N,N,N,Y,Rotational,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.753636, -74.122224"
Boone,20-Aug,2024,8,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,5,2,0,16,5,0,0,0,0,0,3,0,0,0,0,0,0,2,167,33,134,0,125,46,79,9,6,PC,N,76,58.57,40,15.71,"42.514032, -74.047356"
Wilmar Farm,21-Aug,2024,8,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,1,1,1,0,R,N,71,10.1,18,5,"42.652490, -78.247704"
Hendricksons Grazing Acres,21-Aug,2024,8,N,N,N,N,N,N,N,Y,MIG,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,R,N,65,12.5,16,5,"42.622045, -78.134195"
Tamberlane Farm,24-Aug,2024,8,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,11,0,11,5,6,0,2,C,Y,65,0,0,0,"42.8279777,-77.2584595"
Rugenstein,21-Aug,2024,8,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,101,8,93,0,82,73,9,11,3,R,Y,55,0,0,0,"42.9400909,-77.3028408"
Charlie Reinshagen,22-Aug,2024,8,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,26,3,23,0,23,4,19,0,2,C,Y,65,5,7,,"42.378973, -74.666026"
Maks Melvan,22-Aug,2024,8,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,39,5,34,0,28,24,4,6,4,C,N,72,17,18,0,"42.36579, -74.589692"
LaurDom Cattle Co.,22-Aug,2024,8,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,2,0,2,1,2,PC,Y,60,13.83,10.88,0,"42.265233, -74.757086"
Stony Creek Farm,22-Aug,2024,8,N,N,N,N,N,N,N,N,Rotational,5,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,0,11,6,5,0,1,C,Y,56,50,0,0,"42.252111, -75.107264"
Porco,21-Aug,2024,8,N,N,N,N,N,N,N,Y,MIG,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,N,90,0,0,0,"43.03266, - 74.7694"
Young,20-Aug,2024,8,N,N,N,N,N,N,N,Y,Rotational,3.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,1,S,N,90,0,7,5,"42.88130, - 74.8338"
Devine Gardens,23-Aug,2024,8,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,1,0,7,2,0,0,0,0,0,2,1,0,0,0,0,0,0,129,13,116,1,109,40,69,6,5,S,Y,65,14,30.5,6.7,"42.91542, - 75.7471"
Essex Farm,22-Aug,2024,8,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,29,3,26,0,21,14,7,5,2,C,N,60,51.5,28.5,6.9,"44.309224, -73.369184"
Daona,28-Aug,2024,8,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,73,0,61,59,2,12,1,C,Y,73,1.4,0.1,0.2,"43.87937158694747, -73.31594295713514"
KZ,23-Aug,2024,8,N,N,N,N,N,N,N,N,MIG,1,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,26,0,20,19,1,6,1,PC,N,75,215,34.5,3.9,"44.21408785253618, -73.44422118959798"
J+R Pierce,27-Aug,2024,8,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,5,17,0,16,5,11,1,2,S,N,82,38,19.7,0.7,"44.78597240570679, -73.52093274538599"
Donahues,27-Aug,2024,8,N,N,N,N,N,N,N,N,Continuous,30,,0,13,0,0,3,1,0,0,0,0,10,1,0,0,11,0,0,0,137,39,98,0,93,50,43,5,6,PC,N,77,11.8,7.9,2,"44.783728724190745, -74.45422136124527"
Chaseholm,9-Sep,2024,9,N,N,N,N,N,N,N,N,Rotational,3,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,2,37,0,16,15,1,21,2,PC,Y,67,102,40,9,"41.959261, -73.608753"
Full Moon,13-Sep,2024,9,N,N,N,N,N,N,N,Y,Rotational,10,,0,0,0,0,0,1,0,0,0,26,14,0,0,0,0,0,0,0,141,41,100,1,96,96,0,3,3,S,N,75,178.57,48.57,25.71,"41.753636, -74.122224"
Boone,8-Sep,2024,9,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,2,33,0,25,14,11,8,2,PC,N,69,85,49.38,10,"42.514032, -74.047356"
Wilmar Farm,4-Sep,2024,9,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,36,0,25,17,8,11,2,S,Y,60,11,14.5,5,"42.652490, -78.247704"
Hendricksons Grazing Acres,4-Sep,2024,9,N,N,N,N,N,N,N,Y,MIG,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,S,Y,60,10,11.1,5,"42.622045, -78.134195"
Tamberlane Farm,4-Sep,2024,9,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,69,0,57,45,12,12,1,S,Y,72,2.5,7.9,15.5,"42.8279777,-77.2584595"
Rugenstein,4-Sep,2024,9,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,432,8,424,0,410,350,60,14,2,S,N,60,2.1,9.1,0,"42.9400909,-77.3028408"
Charlie Reinshagen,5-Sep,2024,9,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,0,7,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,57,12,45,0,42,13,29,3,4,S,N,75,5,0,,"42.378973, -74.666026"
Maks Melvan,5-Sep,2024,9,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,58,3,55,0,51,46,5,4,2,S,N,75,87,53,4,"42.36579, -74.589692"
LaurDom Cattle Co.,4-Sep,2024,9,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,86,0,63,10,53,23,1,S,N,68,23.5,26.67,11,"42.265233, -74.757086"
Stony Creek Farm,5-Sep,2024,9,N,N,N,N,N,N,N,N,Rotational,5,,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,110,10,100,0,94,78,16,6,3,S,N,68,125,25,0,"42.252111, -75.107264"
Porco,5-Sep,2024,9,N,N,N,N,N,N,N,Y,MIG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,Y,68,0,0,0,"43.03266, - 74.7694"
Young,5-Sep,2024,9,N,N,N,N,N,N,N,Y,Rotational,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,Y,66,0,0,5,"42.88130, - 74.8338"
Devine Gardens,3-Sep,2024,9,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,21,0,19,9,10,2,2,PC,Y,75,4,21.6,3.2,"42.91542, - 75.7471"
Essex Farm,5-Sep,2024,9,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,28,0,22,16,6,6,1,S,N,71,105,45,2.8,"44.309224, -73.369184"
Daona,5-Sep,2024,9,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.87937158694747, -73.31594295713514"
KZ,5-Sep,2024,9,N,N,N,N,N,N,N,N,MIG,1,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,160,6,154,0,148,142,6,6,2,S,N,62,285,20,0,"44.21408785253618, -73.44422118959798"
J+R Pierce,5-Sep,2024,9,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.78597240570679, -73.52093274538599"
Donahues,5-Sep,2024,9,N,N,N,N,N,N,N,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.783728724190745, -74.45422136124527"
Chaseholm,20-Sep,2024,10,N,N,N,N,N,N,N,N,Rotational,3,,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,3,14,0,13,6,7,1,2,S,Y,75,75,36,4,"41.959261, -73.608753"
Full Moon,20-Sep,2024,10,N,N,N,N,N,N,N,Y,Rotational,10,,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,30,0,28,24,4,2,2,S,N,76,121.43,37.14,7.14,"41.753636, -74.122224"
Boone,20-Sep,2024,10,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,6,78,0,76,28,48,2,3,,,,,,,"42.514032, -74.047356"
Wilmar Farm,18-Sep,2024,10,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,Y,77,8.5,17,8.5,"42.652490, -78.247704"
Hendricksons Grazing Acres,18-Sep,2024,10,N,N,N,N,N,N,N,Y,MIG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,Y,77,10,9,5,"42.622045, -78.134195"
Tamberlane Farm,16-Sep,2024,10,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,52,3,49,0,33,25,8,16,3,S,Y,72,3,4,0,"42.8279777,-77.2584595"
Rugenstein,16-Sep,2024,10,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,69,5,64,1,53,49,4,10,3,S,N,66,8.5,8,0,"42.9400909,-77.3028408"
Charlie Reinshagen,19-Sep,2024,10,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,0,6,10,3,0,0,0,0,0,0,3,0,0,0,4,0,0,1,133,27,106,0,104,22,82,2,6,S,N,75,5,7.1,,"42.378973, -74.666026"
Maks Melvan,19-Sep,2024,10,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,61,0,61,41,20,0,1,S,N,75,19.5,12,5,"42.36579, -74.589692"
LaurDom Cattle Co.,19-Sep,2024,10,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,3,44,0,43,3,40,1,3,S,N,80,18.5,18.5,0,"42.265233, -74.757086"
Stony Creek Farm,19-Sep,2024,10,N,N,N,N,N,N,N,N,Rotational,5,,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,105,8,97,0,92,24,68,5,5,S,N,68,77,15,0,"42.252111, -75.107264"
Porco,15-Sep,2024,10,N,N,N,N,N,N,N,Y,MIG,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,N,75,0,2.1,0,"43.03266, - 74.7694"
Young,15-Sep,2024,10,N,N,N,N,N,N,N,Y,Rotational,3.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,N,75,0,7,5.5,"42.88130, - 74.8338"
Devine Gardens,15-Sep,2024,10,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,73,0,17.4,7,"42.91542, - 75.7471"
Essex Farm,15-Sep,2024,10,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.309224, -73.369184"
Daona,15-Sep,2024,10,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.87937158694747, -73.31594295713514"
KZ,15-Sep,2024,10,N,N,N,N,N,N,N,N,MIG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.21408785253618, -73.44422118959798"
J+R Pierce,15-Sep,2024,10,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.78597240570679, -73.52093274538599"
Donahues,15-Sep,2024,10,N,N,N,N,N,N,N,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.783728724190745, -74.45422136124527"
Chaseholm,3-May,2022,1,N,N,N,N,N,N,N,N,Rotational,2.5,,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,6,0,6,0,6,0,1,S,,55,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,,2022,1,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.774997612249, -73.6515655461982"
JohnK,,2022,1,N,N,N,N,N,N,N,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.40061728166515, -73.99420583068292"
Boone,,2022,1,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.54463393478293, -74.03369647630593"
Turner,4-May,2022,1,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,2,29,0,26,18,8,3,1,C,,57,0,32,,"42.22686594127726, -76.99705251164634"
Kuipers,4-May,2022,1,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,1,0,1,1,0,0,3,R,,52,,,,"42.652410995744475, -78.24775957397635"
Honeyhill,,2022,1,N,N,N,N,N,N,N,N,Rotational,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.7876199,-77.6811557"
Rugenstein,6-May,2022,1,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,13,14,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,69,40,29,0,22,1,21,7,4,C,N,55,0,0,,"43.06299375705573, -77.30374234638641"
Eisele,5-May,2022,1,N,N,N,N,N,N,N,N,Rotational,2,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,9,0,8,3,5,1,1,S,,65,1,,,"42.158070, -74.802461"
Shephard,5-May,2022,1,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,2,0,2,0,S,,65,0.2,0,,"42.322393, -74.891982"
Chaseholm,10-May,2022,2,N,N,N,N,N,N,N,N,Rotational,2.5,,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,35,17,0,15,0,15,2,2,S,,75,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,10-May,2022,2,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,75,0,0,,"41.774997612249, -73.6515655461982"
JohnK,,2022,2,N,N,N,N,N,N,N,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.40061728166515, -73.99420583068292"
Boone,,2022,2,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.54463393478293, -74.03369647630593"
Turner,12-May,2022,2,N,N,N,N,N,N,N,N,Rotational,2,,0,25,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,125,29,96,0,80,12,68,16,5,S,,78,0,34,,"42.22686594127726, -76.99705251164634"
Kuipers,12-May,2022,2,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,55,0,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,74,63,11,0,8,6,2,3,6,S,,73,0,10,,"42.652410995744475, -78.24775957397635"
Honeyhill,12-May,2022,2,N,N,N,N,N,N,N,N,Rotational,0.5,,54,274,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,369,336,33,0,17,4,13,16,4,S,N,71,0,10,,"42.7876199,-77.6811557"
