,farm,date,year,calamosternus_granarius,colobopterus_erraticus,aphodius_fimetarius,otophorus,oscarinus_rusicola,alloblackburneus_rubeolus,acrossus_rubripennis,chilothorax_distinctus,teuchestes_fossor,labarrus_lividus,blackburneus_stercorosus,dialytellus_dialytoides,trichonotulus_scrofa,eupleurus_subterraneus,onthophagus_taurus,onthophagus_pensylvannicus,onthophagus_nuchicornis,onthophagus_hecate,unnamed_21,onthopagus_abundance,aphodius_abundance,total_abundance,q_0_richness,q_1_shannon,q_2_simpson,native_species_abundance,native_species_richness,native_species_proportion,unnamed_0,lat,long,corn,soybeans,sweet_corn,barley,winter_wheat,rye,oats,alfalfa,other_hay_non_alflafa,buckwheat,dry_beans,potatoes,misc_vegs_&_fruits,clover_wildflowers,fallow_idle_cropland,cherries,apples,grapes,christmas_trees,open_water,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,barren,deciduous_forest,evergreen_forest,mixed_forest,shrubland,grassland_pasture,woody_wetlands,herbaceous_wetlands,total,ag,ag_prop,nat,nat_prop,semi_nat,semi_nat_prop,dev,dev_prop,other,other_prop,woodland,woodland_prop,forest_prop,total_nat_prop,drainage,soil_texture,julian_day,season,sorghum,sunflower,spring_wheat,sugarbeets,onions,cucumbers,peas,sod_grass_seed,other_tree_crops,aquaculture,triticale,carrots,broccoli,greens,squash,dbl_crop_triticale_corn,pumpkins
44,Wallbridge,2022-06-06,2022,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,1,7,8,3,2.08677944,1.684210526,1,1,0.142857143,1,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0.0,0,0,0.0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.0526462105200711,0.0,0.0,2001,0.6346088388594118,0.5797426074137955,0.8740539529717835,4,4,157,spring,,,,,,,,,,,,,,,,,
45,JohnK,2022-06-07,2022,0,18,10,11,1,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,40,42,5,3.63161379,3.207272727,1,1,0.025,2,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0.0,0,0,0.0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.0848148068775857,203,0.06376816961537,0.0,0.0,2623,0.8239601423700275,0.7579930703541274,0.9125444962199504,5,5,158,spring,,,,,,,,,,,,,,,,,
46,Boone,2022-06-07,2022,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,1,3,4,4,4.0,4.0,1,1,0.333333333,3,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0.0,0,0,0.0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.0583710533718883,89,0.027930235215581,0.0,0.0,2672,0.8385347022026115,0.8187638615443913,0.9085172016753594,2,5,158,spring,,,,,,,,,,,,,,,,,
47,Turner,2022-06-09,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1.0,1.0,0,0,0.0,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,160,spring,,,,,,,,,,,,,,,,,
48,Kuipers,2022-06-10,2022,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,38,38,2,1.129406646,1.054014599,1,1,0.026315789,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,161,spring,,,,,,,,,,,,,,,,,
49,Honeyhill,2022-06-10,2022,0,15,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,18,18,3,1.744812157,1.408695652,2,1,0.055555556,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,161,spring,,,,,,,,,,,,,,,,,
50,Rugenstein,2022-06-10,2022,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,5,4,3.789291416,3.571428571,1,1,0.2,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,161,spring,,,,,,,,,,,,,,,,,
51,Eisele,2022-06-08,2022,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,7,2,1.506993066,1.324324324,1,1,0.142857143,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,159,spring,,,,,,,,,,,,,,,,,
52,Shephard,2022-06-08,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1.0,1.0,0,0,0.0,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,159,spring,,,,,,,,,,,,,,,,,
53,Chaseholm,2022-06-13,2022,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,4,2,1.754765351,1.6,0,0,0.0,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,164,spring,,,,,,,,,,,,,,,,,
54,Wallbridge,2022-06-13,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,,1,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0.0,0,0,0.0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.0526462105200711,0.0,0.0,2001,0.6346088388594118,0.5797426074137955,0.8740539529717835,4,4,164,spring,,,,,,,,,,,,,,,,,
55,JohnK,2022-06-14,2022,0,66,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,80,80,3,1.66322286,1.414052143,1,1,0.0125,2,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0.0,0,0,0.0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.0848148068775857,203,0.06376816961537,0.0,0.0,2623,0.8239601423700275,0.7579930703541274,0.9125444962199504,5,5,165,spring,,,,,,,,,,,,,,,,,
56,Boone,2022-06-14,2022,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,2,1.889881575,1.8,0,0,0.0,3,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0.0,0,0,0.0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.0583710533718883,89,0.027930235215581,0.0,0.0,2672,0.8385347022026115,0.8187638615443913,0.9085172016753594,2,5,165,spring,,,,,,,,,,,,,,,,,
57,Turner,2022-06-17,2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,2.0,2.0,0,0,0.0,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,168,spring,,,,,,,,,,,,,,,,,
58,Kuipers,2022-06-17,2022,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,16,2,1.937819241,1.882352941,0,0,0.0,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,168,spring,,,,,,,,,,,,,,,,,
59,Honeyhill,2022-06-17,2022,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,10,1,1.0,1.0,0,0,0.0,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,168,spring,,,,,,,,,,,,,,,,,
60,Rugenstein,2022-06-17,2022,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,5,1,1.0,1.0,0,0,0.0,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,168,spring,,,,,,,,,,,,,,,,,
61,Eisele,2022-06-16,2022,0,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,12,12,3,2.057442459,1.674418605,1,1,0.083333333,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,167,spring,,,,,,,,,,,,,,,,,
62,Shephard,2022-06-16,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1.0,1.0,0,0,0.0,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,167,spring,,,,,,,,,,,,,,,,,
63,Chaseholm,2022-06-21,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,172,summer,,,,,,,,,,,,,,,,,
64,Wallbridge,2022-06-21,2022,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,22,22,3,1.444335678,1.2039801,1,1,0.045454545,1,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0.0,0,0,0.0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.0526462105200711,0.0,0.0,2001,0.6346088388594118,0.5797426074137955,0.8740539529717835,4,4,172,summer,,,,,,,,,,,,,,,,,
65,JohnK,2022-06-22,2022,0,40,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,1,43,44,5,1.538276844,1.206982544,1,1,0.023255814,2,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0.0,0,0,0.0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.0848148068775857,203,0.06376816961537,0.0,0.0,2623,0.8239601423700275,0.7579930703541274,0.9125444962199504,5,5,173,summer,,,,,,,,,,,,,,,,,
66,Boone,2022-06-22,2022,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,3,3,2,1.889881575,1.8,0,0,0.0,3,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0.0,0,0,0.0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.0583710533718883,89,0.027930235215581,0.0,0.0,2672,0.8385347022026115,0.8187638615443913,0.9085172016753594,2,5,173,summer,,,,,,,,,,,,,,,,,
67,Turner,2022-06-22,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1.0,1.0,1,1,1.0,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,173,summer,,,,,,,,,,,,,,,,,
68,Kuipers,2022-06-22,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1.0,1.0,0,0,0.0,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,173,summer,,,,,,,,,,,,,,,,,
69,Honeyhill,2022-06-24,2022,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,4,4,4,4.0,4.0,0,0,0.0,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,175,summer,,,,,,,,,,,,,,,,,
70,Rugenstein,2022-06-24,2022,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,8,3,2.460232976,2.133333333,1,1,0.125,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,175,summer,,,,,,,,,,,,,,,,,
71,Eisele,2022-06-23,2022,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,2,1.889881575,1.8,0,0,0.0,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,174,summer,,,,,,,,,,,,,,,,,
72,Shephard,2022-06-23,2022,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,7,7,3,2.600490006,2.333333333,0,0,0.0,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,174,summer,,,,,,,,,,,,,,,,,
73,Chaseholm,2022-06-30,2022,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,4,4,2,2.0,2.0,2,1,0.25,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,181,summer,,,,,,,,,,,,,,,,,
74,Wallbridge,2022-06-30,2022,0,48,0,6,0,2,0,0,0,0,0,0,0,0,3,0,0,0,,3,56,59,4,1.947438249,1.479388015,2,1,0.017857143,1,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0.0,0,0,0.0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.0526462105200711,0.0,0.0,2001,0.6346088388594118,0.5797426074137955,0.8740539529717835,4,4,181,summer,,,,,,,,,,,,,,,,,
75,JohnK,2022-06-28,2022,0,209,1,25,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,1,237,238,6,1.557023378,1.27835703,1,1,0.004219409,2,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0.0,0,0,0.0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.0848148068775857,203,0.06376816961537,0.0,0.0,2623,0.8239601423700275,0.7579930703541274,0.9125444962199504,5,5,179,summer,,,,,,,,,,,,,,,,,
76,Boone,2022-06-28,2022,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,14,14,2,1.293457209,1.152941176,0,0,0.0,3,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0.0,0,0,0.0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.0583710533718883,89,0.027930235215581,0.0,0.0,2672,0.8385347022026115,0.8187638615443913,0.9085172016753594,2,5,179,summer,,,,,,,,,,,,,,,,,
77,Turner,2022-06-29,2022,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,2,1.889881575,1.8,0,0,0.0,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,180,summer,,,,,,,,,,,,,,,,,
78,Kuipers,2022-06-29,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1.0,1.0,0,0,0.0,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,180,summer,,,,,,,,,,,,,,,,,
79,Honeyhill,2022-06-29,2022,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,1,1.0,1.0,0,0,0.0,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,180,summer,,,,,,,,,,,,,,,,,
80,Rugenstein,2022-06-29,2022,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,9,3,3.0,3.0,0,0,0.0,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,180,summer,,,,,,,,,,,,,,,,,
81,Eisele,2022-06-30,2022,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,4,1,1.0,1.0,0,0,0.0,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,181,summer,,,,,,,,,,,,,,,,,
82,Shephard,2022-06-30,2022,0,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,16,3,2.294520046,2.031746032,0,0,0.0,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,181,summer,,,,,,,,,,,,,,,,,
83,Chaseholm,2022-07-05,2022,0,16,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,25,25,3,2.461385401,2.104377104,0,0,0.0,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,186,summer,,,,,,,,,,,,,,,,,
84,Wallbridge,2022-07-05,2022,0,34,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,36,37,4,1.448427538,1.181190682,0,0,0.0,1,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0.0,0,0,0.0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.0526462105200711,0.0,0.0,2001,0.6346088388594118,0.5797426074137955,0.8740539529717835,4,4,186,summer,,,,,,,,,,,,,,,,,
85,JohnK,2022-07-06,2022,0,40,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,50,51,3,1.798763658,1.529100529,0,0,0.0,2,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0.0,0,0,0.0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.0848148068775857,203,0.06376816961537,0.0,0.0,2623,0.8239601423700275,0.7579930703541274,0.9125444962199504,5,5,187,summer,,,,,,,,,,,,,,,,,
86,Boone,2022-07-06,2022,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,8,2,1.457569265,1.28,0,0,0.0,3,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0.0,0,0,0.0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.0583710533718883,89,0.027930235215581,0.0,0.0,2672,0.8385347022026115,0.8187638615443913,0.9085172016753594,2,5,187,summer,,,,,,,,,,,,,,,,,
87,Turner,2022-07-07,2022,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,5,1,1.0,1.0,0,0,0.0,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,188,summer,,,,,,,,,,,,,,,,,
88,Kuipers,2022-07-07,2022,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,14,14,3,1.663855241,1.342465753,0,0,0.0,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,188,summer,,,,,,,,,,,,,,,,,
89,Honeyhill,2022-07-06,2022,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,18,1,1.0,1.0,0,0,0.0,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,187,summer,,,,,,,,,,,,,,,,,
90,Rugenstein,2022-07-06,2022,0,2,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,37,37,3,1.39516278,1.1791559,1,1,0.027027027,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,187,summer,,,,,,,,,,,,,,,,,
