a2,a1,FarmID,Area of the farm,h1_1_1,h1_2_1,h1_3_1,h1_1_2,h1_2_2,h1_3_2,h1_1_3,h1_2_3,h1_3_3,h1_1_4,h1_2_4,h1_3_4,h1_1_5,h1_2_5,h1_3_5,h1_1_6,h1_2_6,h1_3_6,h1_1_7,h1_2_7,h1_3_7
A1,15,A1-15,47,Si,Entre 1 y 3 años,20,Si,Más de 5 años,45,Si,Más de 5 años,22,Si,Más de 5 años,0,No,,,No,,,Si,Entre 1 y 3 años,3
A1,26,A1-26,40,Si,Más de 5 años,39,Si,Más de 5 años,39,Si,Entre 1 y 3 años,0,Si,Entre 6 meses y un año,0,Si,Entre 1 y 3 años,0,No,,,No,,
A1,17,A1-17,150,Si,Entre 6 meses y un año,42,Si,Entre 3 y 5 años,125,Si,Más de 5 años,103.5,No,,,Si,Más de 5 años,3.5,No,,,No,,
A1,30,A1-30,93,Si,Más de 5 años,72,No,,,No,,,No,,,No,,,Si,Más de 5 años,0,No,,
A1,31,A1-31,4.5,No,,,Si,Más de 5 años,4.25,Si,Más de 5 años,2.25,No,,,No,,,Si,Más de 5 años,2,No,,
A1,32,A1-32,60,Si,Entre 3 y 5 años,51,Si,Más de 5 años,56,No,,,Si,Entre 3 y 5 años,5,No,,,No,,,No,,
A1,33,A1-33,19,No,,,No,,,No,,,No,,,No,,,No,,,No,,
A1,34,A1-34,78,Si,Entre 6 meses y un año,76,Si,Más de 5 años,76,No,,,No,,,No,,,No,,,No,,
A2,43,A2-43,12,No,,,Si,Más de 5 años,2,Si,Más de 5 años,2,No,,,No,,,No,,,No,,
A3,13,A3-13,70,Si,Entre 1 y 3 años,10,Si,Entre 1 y 3 años,16,Si,Más de 5 años,50,No,,,Si,Entre 1 y 3 años,50,No,,,Si,Entre 1 y 3 años,1
