Title,Author,Year,Country,Continent,Climate,Comparison,Response,Response Category,Local Factor,Local Strategy,Local Effect,Landscape,Landscape Gradient,Minimum Complexity,Maximum Complexity,Landscape Effect,Interaction Details,Interaction Effect,Description
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Spider activity-density,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,Negative (meadow),NS,NS,"Field farming system had strong effects on activity-density and species richness of spiders which were significantly higher in OF fields than in CF fields.

It also decreased with the proportion of meadow in the landscape."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Spider activity-density,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,NS (woody),"Organic is positive in more complex woody landscapes, conventional is negative.",More positive local effect in complex landscapes,"Spider activity-density was significantly influenced by the interaction between field farming system and the proportion of wood (500 m) (Table 2), the effect being positive in OF fields and negative in CF fields."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Spider activity-density,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,NS (grass strips),"Not significant in more complex grassy landscapes, conventional is positive. ",No significant local effect in complex landscapes,"It was marginally influenced by the interaction between the percentage of grass strips (500 m) and field farming system (average estimate ± CI: 0.37 ± 0.33; Table 2), the effect being positive in CF fields and non-significant in OF fields (Fig. 2b)."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Carabid activity-density,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,NS (meadow),NS,NS,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Carabid activity-density,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,NS (woody),NS,NS,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Carabid activity-density,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,Positive (grass strips),NS,NS,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields.

Carabid activity-density and species richness were positively influenced by the proportion of grass strips in the landscape."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Spider species richness,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,NS (meadow),NS,NS,Field farming system had strong effects on activity-density and species richness of spiders which were significantly higher in OF fields than in CF fields.
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Spider species richness,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,NS (woody),NS,NS,Field farming system had strong effects on activity-density and species richness of spiders which were significantly higher in OF fields than in CF fields.
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Spider species richness,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,NS (grass strips),NS,NS,Field farming system had strong effects on activity-density and species richness of spiders which were significantly higher in OF fields than in CF fields.
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Carabid species richness ,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,Negative (meadow),"Negative in more complex meadow landscapes, no effect in conventional. ",More negative local effect in complex landscapes,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields.

The proportion of meadow and wood in interaction with field farming system had negative effects on carabid species richness (−0.09 ± 0.09 and −0.21 ± 0.1, respectively; Table 2, Fig. A.2). The proportion of meadow had a negative impact on carabid species richness in OF fields and no effect in CF fields (Table 2, Fig. 4a), whereas woods had a negative effect (Table 2) in both OF and CF fields."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Carabid species richness ,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,Negative (woody),Negative in more complex woody landscapes in both systems. ,More negative local effect in complex landscapes,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields.

The proportion of meadow and wood in interaction with field farming system had negative effects on carabid species richness (−0.09 ± 0.09 and −0.21 ± 0.1, respectively; Table 2, Fig. A.2). The proportion of meadow had a negative impact on carabid species richness in OF fields and no effect in CF fields (Table 2, Fig. 4a), whereas woods had a negative effect (Table 2) in both OF and CF fields."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,France,Europe,,Conventional,Carabid species richness ,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,6.5,65.5,Positive (grass strips),Positive in more complex grassy strips for conventional fields. ,More positive local effect in complex landscapes,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields.

Proportion of grass strips in the landscape interacted with farming system (Table 2), and had a positive and significant effect on carabid species richness only in CF field."
Flow and stability of natural pest control services depend on complexity and crop rotation at the landscape scale,Rusch et al. ,2013,Sweden,Europe,,Conventional,Biological pest control service,Natural enemy,Crop rotation,Diversity,NS,Complexity at the 0.5 km or 1 km spatial scale; Based on the amount of pasture (square root-transformed) and the length of field borders in the landscape. ,Non-crop area,,,Positive,NS,NS,"There was a significant positive relationship between the average overall biological control and the first PCA axis at these two scales. 

Independent of crop rotation intensity. "
Flow and stability of natural pest control services depend on complexity and crop rotation at the landscape scale,Rusch et al. ,2013,Sweden,Europe,,Conventional,Parasitism rates,Natural enemy,Crop rotation,Diversity,NA,Complexity at the 0.5 km or 1 km spatial scale; Based on the amount of pasture (square root-transformed) and the length of field borders in the landscape. ,Non-crop area,,,NS,NS,NS,We found no evidence of effects of landscape complexity or the average proportion of ley on mean parasitism rates. 
Flower fields and pesticide use interactively shape pollen beetle infestation and parasitism in oilseed rape fields,Krimmer et al.,2021,Germany,Europe,,Conventional,Pollen beetle abundance,Pollinator,"Flower field age (new, refreshed, continuous)",Floral,NS,"SNH consisted of forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows and extensive pastures as well as semi-natural calcareous grasslands and grasslands taken out of agricultural production.",3.6–31.6% semi-natural habitat,3.6,31.6,NS,NS,NS,"The type and size of the adjacent field, the amount of SNH and interactions with treatment did not significantly influence adult pollen beetle abundance in the OSR fields."
Flower fields and pesticide use interactively shape pollen beetle infestation and parasitism in oilseed rape fields,Krimmer et al.,2021,Germany,Europe,,Conventional,Larvae infestation,Pollinator,"Flower field age (new, refreshed, continuous)",Floral,Positive,"SNH consisted of forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows and extensive pastures as well as semi-natural calcareous grasslands and grasslands taken out of agricultural production.",3.6–31.6% semi-natural habitat,3.6,31.6,NS,NS,NS,"The plants next to continuous flower fields had overall lower numbers of pollen beetle larvae than plants next to refreshed flower fields and partly next to crop fields, where untreated plants had the same numbers as untreated plants next to continuous flower field."
Flower fields and pesticide use interactively shape pollen beetle infestation and parasitism in oilseed rape fields,Krimmer et al.,2021,Germany,Europe,,Conventional,Parasitism,Natural enemy,"Flower field age (new, refreshed, continuous)",Floral,Positive,"SNH consisted of forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows and extensive pastures as well as semi-natural calcareous grasslands and grasslands taken out of agricultural production.",3.6–31.6% semi-natural habitat,3.6,31.6,NS,NS,NS,"Furthermore, the parasitism rate was lower on untreated plants next to the crop control than on untreated plants next to continuous flower fields. "
Flower fields and pesticide use interactively shape pollen beetle infestation and parasitism in oilseed rape fields,Krimmer et al.,2021,Germany,Europe,,Conventional,Superparasitism,Natural enemy,"Flower field age (new, refreshed, continuous)",Floral,NS,"SNH consisted of forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows and extensive pastures as well as semi-natural calcareous grasslands and grasslands taken out of agricultural production.",3.6–31.6% semi-natural habitat,3.6,31.6,NS,NS,NS,
Habitat area and connectivity support cavity-nesting bees in vineyards more than organic management,Uzman et al.,2020,Germany,Europe,,Conventional,Bee abundance (cavity-nesting bees),Pollinator,Organic,Intensity,Positive,"We defined landscape complexity as the area of SNH within a radius of 1000 m. SNH elements encompassed woody habitats (in the form of hedges, tree alleys, single trees with d > 10 m and forest patches) and herbaceous habitats (in the form of natural and semi-natural herbaceous pasture and meadows or field margins with extensive vegetation). ",7.4-52.9% semi-natural habitat,7.4,52.9,Positive,NS,NS,"In organic vineyards, mean abundance of cavity-nesting bees was around 80% higher.

Total bee abundance was enhanced by organic management and increasing SNH cover."
Habitat area and connectivity support cavity-nesting bees in vineyards more than organic management,Uzman et al.,2020,Germany,Europe,,Conventional,Species richness (cavity-nesting bees),Pollinator,Organic,Intensity,Positive,"We defined landscape complexity as the area of SNH within a radius of 1000 m. SNH elements encompassed woody habitats (in the form of hedges, tree alleys, single trees with d > 10 m and forest patches) and herbaceous habitats (in the form of natural and semi-natural herbaceous pasture and meadows or field margins with extensive vegetation). ",7.4-52.9% semi-natural habitat,7.4,52.9,NS,NS,NS,Even though higher species richness of cavity-nesting bees was found in organic vineyards.
High cover of hedgerows in the landscape supports multiple ecosystem services in Mediterranean cereal fields,Dainese et al. ,2016,Italy,Europe,,Control,Predation,Natural enemy,"Field margin complexity low to high (grass, simple hedgerow, complex hedgerow)",Structure,NS,"Therefore, hedgerow cover at the landscape scale included both simple and complex hedgerows.",0-62% non-arable land,0,62,NS,NS,NS,Predation by natural enemies was high in all the sites and was unrelated to field-margin complexity and landscape factors.
High cover of hedgerows in the landscape supports multiple ecosystem services in Mediterranean cereal fields,Dainese et al. ,2016,Italy,Europe,,Control,Parasitism rate,Natural enemy,"Field margin complexity low to high (grass, simple hedgerow, complex hedgerow)",Structure,NS,"Therefore, hedgerow cover at the landscape scale included both simple and complex hedgerows.",0-62% non-arable land,0,62,NS,NS,NS,"Parasitism rate was best predicted by the cover of hedgerows at the landscape scale (Σwi = 0·80), while other factors had low Σwi. The cover of hedgerows had a positive effect on parasitism rate."
High cover of hedgerows in the landscape supports multiple ecosystem services in Mediterranean cereal fields,Dainese et al. ,2016,Italy,Europe,,Control,Vegetation-dwelling predators,Natural enemy,"Field margin complexity low to high (grass, simple hedgerow, complex hedgerow)",Structure,NS,"Therefore, hedgerow cover at the landscape scale included both simple and complex hedgerows.",0-62% non-arable land,0,62,Positive,NS,NS,Vegetation-dwelling predators were positively affected by aphid abundance (Table 1) and negatively by the cover of arable land.
High cover of hedgerows in the landscape supports multiple ecosystem services in Mediterranean cereal fields,Dainese et al. ,2016,Italy,Europe,,Control,Ground-dwelling predators,Natural enemy,"Field margin complexity low to high (grass, simple hedgerow, complex hedgerow)",Structure,NS,"Therefore, hedgerow cover at the landscape scale included both simple and complex hedgerows.",0-62% non-arable land,0,62,Negative,NS,NS,"Total abundance of ground-dwelling predators was best predicted by the cover of arable land (Σwi = 0·71), while other factors had low Σwi (<0·40) (Table 1; see Appendix S2, Table S5). The cover of arable land had a positive effect on ground-dwelling predators."
High cover of hedgerows in the landscape supports multiple ecosystem services in Mediterranean cereal fields,Dainese et al. ,2016,Italy,Europe,,Control,Pollinator visitation,Pollinator,"Field margin complexity low to high (grass, simple hedgerow, complex hedgerow)",Structure,NS,"Therefore, hedgerow cover at the landscape scale included both simple and complex hedgerows.",0-62% non-arable land,0,62,NS,NS,NS,"Considering the whole pollinator community, visitation rate was best explained by the cover of hedgerows at the landscape scale."
High cover of hedgerows in the landscape supports multiple ecosystem services in Mediterranean cereal fields,Dainese et al. ,2016,Italy,Europe,,Control,Seed set,Crop,"Field margin complexity low to high (grass, simple hedgerow, complex hedgerow)",Structure,NS,"Therefore, hedgerow cover at the landscape scale included both simple and complex hedgerows.",0-62% non-arable land,0,62,NS,NS,NS,Seed set was best predicted by the cover of hedgerows (landscape).
High effectiveness of tailored flower strips in reducing pests and crop plant damage,Tschumi et al. ,2015,Switzerland,Europe,,Control,Pest abundance,Pest,Flower strip,Floral,Positive,Percent non-crop area within 750 m radius; Official digital land-use maps,8-75% non-crop area,8,75,NA,NS,NS,"The number of CLB larvae was reduced by 40% in winter wheat fields with flower strips (hereafter flower strip fields) compared with winter wheat fields with winter wheat strips (hereafter control fields). CLB larvae increased with distance from flower strips, but in a similar way as from wheat control strips. "
High effectiveness of tailored flower strips in reducing pests and crop plant damage,Tschumi et al. ,2015,Switzerland,Europe,,Control,Pest reemergence,Pest,Flower strip,Floral,Positive,Percent non-crop area within 750 m radius; Official digital land-use maps,8-75% non-crop area,8,75,NA,NS,NS,Significantly less adult CLB (−53%) re-emerged in flower strip fields than in control fields
High effectiveness of tailored flower strips in reducing pests and crop plant damage,Tschumi et al. ,2015,Switzerland,Europe,,Control,Plant damage ,Crop,Flower strip,Floral,Positive,Percent non-crop area within 750 m radius; Official digital land-use maps,8-75% non-crop area,8,75,NA,NS,NS,Wheat plant damage caused by CLB was reduced by 61% in flower strip fields compared with control fields
High effectiveness of tailored flower strips in reducing pests and crop plant damage,Tschumi et al. ,2015,Switzerland,Europe,,Control,Natural enemy adult abundance,Natural enemy,Flower strip,Floral,Positive,Percent non-crop area within 750 m radius; Official digital land-use maps,8-75% non-crop area,8,75,NA,NS,NS,"Numbers of adults of all studied natural enemy groups increased strongly in flower strips compared with wheat control strips (table 1, figure 2a–c,e), while the number of larvae of ladybirds and lacewings did not significantly differ"
High effectiveness of tailored flower strips in reducing pests and crop plant damage,Tschumi et al. ,2015,Switzerland,Europe,,Control,Natural enemy larvae abundance,Natural enemy,Flower strip,Floral,NS,Percent non-crop area within 750 m radius; Official digital land-use maps,8-75% non-crop area,8,75,NA,NS,NS,"The number of larvae of ladybirds and lacewings did not significantly differ.

Ladybird larvae in winter wheat fields adjoining flower strips tended to increase with landscape complexity."
"Hoverflies (Diptera: Syrphidae) benefit from a cultivation of the bioenergy crop Silphium perfoliatum L. (Asteraceae) depending on larval feeding type, landscape composition and crop management",Mueller & Dauber,2016,Germany,Europe,,Conventional,Natural enemy abundance (microphagous syrphid),Natural enemy,Crop diversification (flowering crops),Diversity,Positive,"The proportion of semi-natural habitats in our study regions (see definition below) ranged from 0.01% to 9.5% in a radius of 3000 m (with an average of 4.1%). We differentiated between arable land, woody vegetation, grassland, heath- and fenland, garden land, water bodies and settlement. ",0.01-9.5% semi-natural habitats,0.01,9.5,Positive,NS,NS,"The abundance of microphagous hoverflies (Fig. 3a) increased after the first sampling period but over-proportionally in S. perfoliatum fields. 

Microphagous hoverflies were positively influenced by the proportion of semi-natural habitats. This relationship was more pronounced regarding abundance (P < 0.01) (Fig. 4a) rather than regarding species richness (P < 0.05) "
"Hoverflies (Diptera: Syrphidae) benefit from a cultivation of the bioenergy crop Silphium perfoliatum L. (Asteraceae) depending on larval feeding type, landscape composition and crop management",Mueller & Dauber,2016,Germany,Europe,,Conventional,Natural enemy species richness (microphagous syrphid),Natural enemy,Crop diversification (flowering crops),Diversity,Positive,"The proportion of semi-natural habitats in our study regions (see definition below) ranged from 0.01% to 9.5% in a radius of 3000 m (with an average of 4.1%). We differentiated between arable land, woody vegetation, grassland, heath- and fenland, garden land, water bodies and settlement. ",0.01-9.5% semi-natural habitats,0.01,9.5,Positive,NS,NS,"Species richness of microphagous hoverflies (Fig. 3c) also slightly increased after the first sampling period, although there was only a significant difference to the species richness found in forest edges.

Whereas the single parameters habitat type and sampling period both showed significant effects (P(LRT) < 0.001).

Microphagous hoverflies were positively influenced by the proportion of semi-natural habitats. This relationship was more pronounced regarding abundance (P < 0.01) (Fig. 4a) rather than regarding species richness (P < 0.05) "
"Hoverflies (Diptera: Syrphidae) benefit from a cultivation of the bioenergy crop Silphium perfoliatum L. (Asteraceae) depending on larval feeding type, landscape composition and crop management",Mueller & Dauber,2016,Germany,Europe,,Control,Natural enemy abundance (zoophagous syrphid),Natural enemy,Crop diversification (flowering crops),Diversity,Negative,"The proportion of semi-natural habitats in our study regions (see definition below) ranged from 0.01% to 9.5% in a radius of 3000 m (with an average of 4.1%). We differentiated between arable land, woody vegetation, grassland, heath- and fenland, garden land, water bodies and settlement. ",0.01-9.5% semi-natural habitats,0.01,9.5,NS,NS,NS,The abundance in the S. perfoliatum fields was significantly lower compared with the neighbouring habitats. 
"Hoverflies (Diptera: Syrphidae) benefit from a cultivation of the bioenergy crop Silphium perfoliatum L. (Asteraceae) depending on larval feeding type, landscape composition and crop management",Mueller & Dauber,2016,Germany,Europe,,Control,Natural enemy species richness (zoophagous syrphid),Natural enemy,Crop diversification (flowering crops),Diversity,Negative,"The proportion of semi-natural habitats in our study regions (see definition below) ranged from 0.01% to 9.5% in a radius of 3000 m (with an average of 4.1%). We differentiated between arable land, woody vegetation, grassland, heath- and fenland, garden land, water bodies and settlement. ",0.01-9.5% semi-natural habitats,0.01,9.5,NS,NS,NS,"Species richness of zoophagous hoverflies differed between habitat types in further sampling periods, often being significantly lower in S. perfoliatum fields in compared with the neighbouring habitats. 

Patterns in the species richness of zoophagous hoverflies could not be explained by any of the landscape parameters."
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Species richness (total wasps),Natural enemy,Organic,Intensity,Positive,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,"The proportion of non-crop habitats (landscape composition) had no additional explanatory power. 

At the local scale, the species richness of wasps and the total number of wasp brood cells were higher in organic than in conventional sites"
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Species richness (predatory wasps of herbivores),Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,The proportion of non-crop habitats (landscape composition) had no additional explanatory power. 
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Species richness (predatory wasps of spiders),Natural enemy,Organic,Intensity,Positive,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,"The proportion of non-crop habitats (landscape composition) had no additional explanatory power. 

The species richness of herbivore-predating and spider-predating wasps reflected the results found for the species richness of total wasps"
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Brood cell number of wasps (total),Natural enemy,Organic,Intensity,Positive,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,"The proportion of non-crop habitats (landscape composition) had no additional explanatory power. 

The mean number of wasp brood cells was more than 200% higher in organic than in conventional fields."
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Brood cell number of predators of herbivores,Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,The proportion of non-crop habitats (landscape composition) had no additional explanatory power. 
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Brood cell number of predators of spiders,Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,The proportion of non-crop habitats (landscape composition) had no additional explanatory power. 
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Species richness (Osmia),Pollinator,Organic,Intensity,Positive,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,Positive,NS,NS,"The species richness of bees and the number of brood cells of total bees, of the red mason bee O. rufa and of other bees were positively related to the proportion of non-crop habitats (landscape composition) in a 500 m radius

The species richness of bees was higher in organic than in conventional sites"
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Brood cell number (Osmia),Pollinator,Organic,Intensity,Positive,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,"For the most abundant bee species O. rufa, organic farming enhanced the number of brood cells significantly"
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Brood cell number (total bees),Pollinator,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,Positive,NS,NS,"The species richness of bees and the number of brood cells of total bees, of the red mason bee O. rufa and of other bees were positively related to the proportion of non-crop habitats (landscape composition) in a 500 m radius"
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Brood cell number (other bees),Pollinator,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,Positive,NS,NS,The total number of bee brood cells was marginally enhanced by organic farming
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Herbivore-predating wasp number of parasitized brood cells,Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Herbivore-predating wasp number of host brood cells,Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Herbivore-predating wasp parasitism rate,Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Spider-predating wasp number of parasitized brood cells,Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Spider-predating wasp number of host brood cells,Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Spider-predating wasp parasitism rate,Natural enemy,Organic,Intensity,NS,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Osmia number of parasitized brood cells,Pollinator,Organic,Intensity,Positive,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,Germany,Europe,,Conventional,Osmia number of host brood cells,Pollinator,Organic,Intensity,Positive,"For each wheat field, the surrounding landscape was characterized in a landscape circle with the field in the centre and a radius of 500m",15-70% non-crop habitat,15,70,NS,NS,NS,
