site,pest,crop,state_province,date,count,latitude,longitude
Chris Brown,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,2,44.433,-76.823
Clear Creek,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,115,42.58,-80.572
Clear Creek,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,115,42.58,-80.572
Clevenger1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,6,41.349,-84.48
Clevenger2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,41.363,-84.488
Clevenger3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,41.353,-84.448
Clevenger4,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,23,41.319,-84.428
Clevenger5,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,41.356,-84.547
CRT1,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,32,42.836,-80.608
CRT2,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,129,42.778,-80.653
CRT3,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,97,42.813,-80.649
CRT4,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,99,42.844,-80.692
CRT5,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,65,42.854,-80.799
CRT6,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,135,42.865,-80.811
Custer1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,2,40.106,-84.69
Custer2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,4,40.096,-84.691
Custer3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,18,40.122,-84.711
D. Milligan,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,1,44.156,-76.882
Dehaas1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,18,41.724,-81.216
Dehaas2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,11,41.729,-81.214
Dobie Drive,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,42.701,-81.629
Drumbo1,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,12,43.232,-80.58
Drumbo2,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,55,43.232,-80.58
Dublin1,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,12,43.514,-81.351
Duesling Anderson,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,32,43,-80.287
Dundalk,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.142,-80.319
Dundonald Road,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,79,42.774,-81.746
Dykens,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,204,42.15,-82.674
Exeter1,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,35,43.381,-81.477
Exeter2,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,21,43.38,-81.486
Fairground,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,36,42.66,-80.65
Fancy,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,2,41.988,-82.917
Flotos,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.643,-80.351
Fred Martin ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,4,43.602,-80.479
Gahler1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,41.356,-83.122
Gahler2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,10,41.366,-83.154
Gastier,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,8,41.375,-82.589
Glenwillow - Stephenson,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,270,42.86,-81.682
Gough - Irwin,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,20,42.836,-81.664
GR1,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,3,43.238,-81.107
Greaves,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,42.13,-83.004
Hartschuh1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.827,-82.993
Hartschuh2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.818,-82.983
Hawks,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,7,45.342,-83.867
Herron,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,6,44.989,-83.587
Hillman,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,21,45.027,-83.901
Holden1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,26,40.601,-83.876
Holden2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,22,41.868,-80.78
Holden3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,18,41.89,-80.804
Holden4,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,41.904,-80.801
Home 109 Trap,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,153,42.902,-80.636
Hopeville,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.155,-80.555
HVA Home,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.754,-80.57
Innerkip1,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,6,43.192,-80.726
Innerkip2,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,4,43.192,-80.727
Johns,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,76,42.217,-82.512
Jonquiere (Sag),Western Bean Cutworm (WBC),Sweet Corn,QC,7/29/19,0,48.429,-71.32
K. MacLean,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,1,44.228,-76.867
Karhoff1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,21,41.551,-84.522
Karhoff2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,27,41.562,-84.512
Karhoff3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,75,41.566,-84.557
Kevin Bechtel ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.441,-80.332
KGB,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.727,-80.325
L.C.P - Brown,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,25,42.875,-81.501
L.C.P - KennyMays2,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,40,42.934,-81.45
Lachine,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,2,45.014,-83.698
Langton,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,185,42.762,-80.53
Langton South,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,88,42.71,-80.56
Laval-Ouest,Western Bean Cutworm (WBC),Sweet Corn,QC,7/29/19,0,45.532,-73.841
Lentz1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,30,41.027,-83.677
Lentz2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,17,41.014,-83.685
Lentz3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,41.037,-83.66
Lewandowski1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,18,40.759,-81.954
Lewandowski2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,8,40.781,-81.992
Lillycrop,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.225,-80.05
Lokai-Minnich1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.459,-82.234
Lokai-Minnich2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,39.891,-83.677
Long Rapids,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,7,45.154,-83.701
M. McLean,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,3,44.279,-76.35
Markdale,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.304,-80.663
Market,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,66,42.181,-82.915
Marrison1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.274,-81.954
Marrison2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,2,40.282,-81.968
Martin Lane,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,25,42.205,-83.07
Meaford,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.616,-80.625
Merivale,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,45.312,-75.711
Metab-Lac à la Croix (LSJ),Western Bean Cutworm (WBC),Sweet Corn,QC,7/29/19,0,48.43,-71.851
Millersburg,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,5,45.301,-84.04
Moltke,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,12,45.414,-83.932
Morrisburg,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,1,44.922,-75.206
MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,MI,7/29/19,155,42.708,-84.467
MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,MI,7/29/19,1,42.69,-84.495
MSUSoils WBC,Western Bean Cutworm (WBC),Field Corn,MI,7/29/19,59,42.715,-84.463
Neufeld 2,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,60,42.077,-82.575
Neuville-sud,Western Bean Cutworm (WBC),Sweet Corn,QC,7/29/19,1,46.715,-71.638
Nicolet,Western Bean Cutworm (WBC),Sweet Corn,QC,7/29/19,1,46.216,-72.577
NMSS - 1,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,21,43.13,-81.661
NMSS - 2,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,12,43.19,-81.728
Noggle1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,13,41.078,-84.69
Noggle2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,8,41.083,-84.725
Noggle3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,41.099,-84.73
Noggle4,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,41.06,-84.695
Ober1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,29,41.464,-81.208
Ober2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,15,41.474,-81.188
Ober3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,9,41.501,-81.172
Onaway,Western Bean Cutworm (WBC),Field Corn,MI,7/29/19,2,45.325,-84.22
Parkhouse&Thames,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,146,42.788,-81.64
Paulridge,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.288,-76.87
Peterson,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,193,42.053,-82.686
PH Amberley,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,1,44.039,-81.719
PHPointClark,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,5,44.06,-81.732
PHPointClark,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,11,44.06,-81.732
PHPointClark,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,511,44.06,-81.732
Popcorn  1,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,78,43.52,-81.138
Port Rowan,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,75,42.593,-80.496
Port Rowan,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,75,42.593,-80.496
Posen,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,7,45.204,-83.632
Pratt Siding,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,161,42.693,-81.73
Preston,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,42.047,-82.566
Raudenbush,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,11,40.759,-81.954
raudenbush.3@osu.edu,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,41.566,-84.557
Ravenna,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.464,-80.453
Renaud,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,42.177,-82.766
Richer1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,15,41.572,-84.144
Richer1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,30,41.689,-83.379
Richer2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,15,41.561,-84.153
Richer2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,52,41.686,-83.405
Richer3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,41.535,-84.133
Richmond,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,45.203,-75.792
RM01,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.072,-81.403
RM02,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,250,42.854,-81.546
RM03,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.329,-81.225
RM04,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.366,-81.444
RM05,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.54,-81.691
RM07,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.714,-81.169
RM08,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.507,-81.384
Rokeby Line,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,42.855,-81.934
Ron Amey,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.324,-76.822
Royston,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,8,45.118,-83.886
Ruff1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,7,41.366,-84.017
Ruff2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,4,41.379,-84.051
Ruff3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,4,41.345,-83.956
Ruff4,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,2,41.403,-83.981
Sanders,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,52,42.907,-81.733
Saulsbury,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,34,42.963,-81.644
Saxton,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,31,42.937,-81.589
Schaap Trap,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,74,42.936,-80.542
Schroeder1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,3,40.77,-84.144
Schroeder2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.781,-84.144
Scott Mallory,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.21,-76.907
SEMich WBC1,Western Bean Cutworm (WBC),Sweet Corn,MI,7/29/19,26,42.19,-84.05
SEMich WBC2,Western Bean Cutworm (WBC),Field Corn,MI,7/29/19,18,41.98,-83.866
SEMich WBC3,Western Bean Cutworm (WBC),Soybeans,MI,7/29/19,1,41.794,-84.18
SFS Home,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.613,-80.283
SFS Home,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.613,-80.283
Shop,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.754,-80.104
Sitko Verhagge,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,33,42.926,-80.345
Skoblenick,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,18,42.918,-80.249
Smith Koustaal,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,22,43.079,-80.396
St. Williams,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,95,42.656,-80.457
St. Williams,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,95,42.656,-80.457
Stachler1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,40.578,-84.354
Stachler2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,40.585,-84.356
Stachler3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.58,-84.366
Stachler4,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,40.572,-84.355
St-Janvier (Mirabel),Western Bean Cutworm (WBC),Sweet Corn,QC,7/29/19,0,45.74,-73.954
Sunderman,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,8,41.412,-82.128
Sunderman1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,23,41.127,-82.648
Sunderman2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,93,41.148,-82.647
Sundermeier1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,6,41.348,-83.677
Sundermeier2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,35,41.399,-83.647
Sundermeier3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,30,41.337,-83.614
Trois-Rivières,Western Bean Cutworm (WBC),Sweet Corn,QC,7/29/19,0,46.384,-72.637
TW01,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.174,-79.296
TW02,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.553,-79.778
TW03,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.074,-81.182
TW04,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,6,43.654,-80.532
TW05,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.173,-79.847
TW06,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.426,-80.647
TW07,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.946,-80.192
TW08,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.375,-80.394
UP WBCCollins1,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,1,45.694,-86.643
UP WBCCollins2,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,3,45.672,-86.699
UP WBCCollins3,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,1,45.679,-86.707
UP WBCKlink,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,9,45.795,-86.543
UP WBCLaTulip,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,7,45.78,-86.551
UP WBCRobere,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,3,45.981,-86.427
UP WBCTherukaurf1,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,0,45.246,-87.597
UP WBCTherukaurf3,Western Bean Cutworm (WBC),Dry Beans,MI,7/29/19,8,45.25,-87.593
Valleyfield,Western Bean Cutworm (WBC),Sweet Corn,QC,7/29/19,1,45.254,-74.101
Vanberlo,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,68,43.009,-80.392
Verhoeve Trap,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,7,42.881,-80.535
Vermilyea 1,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.213,-76.85
Vermilyea 2,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,44.248,-76.803
Wardsville,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,23,42.66,-81.747
Watson,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,144,42.154,-82.549
WBC - Jimmy,Western Bean Cutworm (WBC),Field Corn,NB,7/29/19,1,45.654,-65.49
WBC - Marcus,Western Bean Cutworm (WBC),Field Corn,NB,7/29/19,0,45.722,-65.609
Winchester,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,2,45.054,-75.337
Woodstock1,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,20,43.171,-80.76
Woodstock2,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/19,1,43.17,-80.761
Young1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.871,-84.564
Young10,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,3,40.97,-84.576
Young2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,2,40.922,-84.569
Young3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,40.916,-84.514
Young4,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,5,40.848,-84.512
Young5,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,4,40.838,-84.563
Young6,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.848,-84.636
Young7,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,40.866,-84.65
Young8,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,2,40.908,-84.665
Young9,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,40.934,-84.622
Zoller1,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,1,40.398,-81.428
Zoller2,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,40.405,-81.405
Zoller3,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,0,40.417,-81.408
Zoller4,Western Bean Cutworm (WBC),Field Corn,OH,7/29/19,4,40.419,-81.392
Biggs,Western Bean Cutworm (WBC),Field Corn,NS,7/29/19,6,45.083,-64.31
Camerons,Western Bean Cutworm (WBC),Field Corn,NS,7/29/19,1,45.867,-63.742
Lambs,Western Bean Cutworm (WBC),Field Corn,NS,7/29/19,0,45.07,-64.732
Langacre Moms ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,2,45.217,-75.356
Hickup Sharp,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,45.23,-75.389
Muirkirk Line,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,192,42.524,-81.776
Pioneer Line,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,99,42.554,-81.679
SJ 1 ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,11,43.571,-81.482
Desmond Line,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,161,42.413,-81.798
WBC - John,Western Bean Cutworm (WBC),Field Corn,NB,7/29/19,0,46.054,-65.068
Braemore/Kenesserie,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,223,42.487,-81.859
MB 1 ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,77,42.931,-80.052
BW 1 ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,91,42.771,-80.251
Wetering,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.803,-80.119
Kevin Bechtel ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.441,-80.332
Grootendorst,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.521,-80.361
Rosendale test plot,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,3,43.501,-80.457
Mint Valley,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,43.526,-80.415
Dupasquier ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,1,43.505,-80.313
Craig Hoffman,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,3,43.544,-80.617
Frisia,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,1,43.583,-80.359
RJM,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,17,43.664,-80.533
LE 1,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,244,42.658,-80.421
Geisel Cattle,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,5,43.634,-80.512
Bloomingdale ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,2,43.592,-80.181
SR 1,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,144,42.83,-80.548
VQ 2 ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,183,42.795,-80.761
VQ 1 ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,136,42.795,-80.761
Midlee H3,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,45.125,-75.5
Agrodrain 1A,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,8,45.108,-75.603
Marlboro 30 Ovens ,Western Bean Cutworm (WBC),Field Corn,ON,7/29/19,0,45.156,-75.763
Begg Farm,Western Bean Cutworm (WBC),Sweet Corn,ON,7/30/19,65,42.738,-81.245
Blyth,Western Bean Cutworm (WBC),Dry Beans,ON,7/30/19,15,43.712,-81.46
Boersma Bean,Western Bean Cutworm (WBC),Dry Beans,ON,7/30/19,44,43.376,-81.525
Boersma Corn,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,42,43.379,-81.526
C.D.Léonide,Western Bean Cutworm (WBC),Field Corn,QC,7/30/19,2,45.178,-74.091
CRT10,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,49,42.858,-80.684
CRT11,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,96,42.883,-80.715
CRT12,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,176,42.941,-80.705
CRT13,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,37,42.9,-80.656
CRT14,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,110,42.922,-80.738
CRT15,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,53,42.89,-80.86
CRT7,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,31,42.967,-80.73
CRT8,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,234,42.903,-80.769
CRT9,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,42,42.913,-80.807
Dump,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,1,42.245,-82.781
Eastep,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,2,43.71,-80.475
MacRobbie,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,1,43.466,-80.277
MUFS 1,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,46,42.682,-80.798
MUFS 1,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,46,42.682,-80.798
MUFS 2,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,583,42.703,-80.573
MUFS 2,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,583,42.703,-80.573
MUFS 3,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,36,42.626,-80.455
MUFS 3,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,36,42.626,-80.455
MUFS 4,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,289,42.731,-80.797
MUFS 4,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,289,42.731,-80.797
MUFS 5,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,165,42.731,-80.797
MUFS 5,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,165,42.731,-80.797
MUFS 6,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,662,42.636,-80.604
MUFS 6,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,662,42.636,-80.604
MUFS 6,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,662,42.636,-80.604
Otto,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,12,43.407,-81.108
Pugwash-kouwenberg,Western Bean Cutworm (WBC),Field Corn,NS,7/30/19,1,45.829,-63.606
Rosendale Fordwich,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,0,43.925,-81.029
Saint-Liboire,Western Bean Cutworm (WBC),Field Corn,QC,7/30/19,29,45.704,-72.779
Woodhull,Western Bean Cutworm (WBC),Sweet Corn,ON,7/30/19,91,42.954,-81.376
Curvinglane 13/18,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,0,45.349,-76.135
Littlewood,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,40,42.848,-81.331
Lambeth,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,37,42.896,-81.343
Belmont North,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,35,42.952,-81.117
Dorchester,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,18,43.005,-81.131
Clarence Road,Western Bean Cutworm (WBC),Field Corn,NS,7/30/19,0,44.911,-65.198
LivingSprings,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,0,43.76,-80.394
Vandriel,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,0,43.798,-80.425
Rosendale Alma,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,0,43.716,-80.448
Bill Mowat RDB 2 ,Western Bean Cutworm (WBC),Field Corn,ON,7/30/19,1,45.242,-75.843
